GENOTYPE	d.T3	g.T3	a.T3	d.T	g.T	a.T	Total.Tocotrienols	Total.Tocopherols	Total.Tocochromanols
Ames10249	-1.10520028896533	2.69697491052475	2.56545717407249	1.14493561653047	5.3435359841588	2.20644262966432	2.51405185761149	5.58302482978537	6.69274061876
Ames10252	-0.605114907861719	3.52396740152346	3.56745786660473	1.18682442972834	5.91672531591589	2.56746619997226	3.18177097403466	6.31024737470727	7.97780613264073
Ames10254	-0.269685640049855	4.18452430235505	3.92939855575888	0.91746758035366	2.874390998977	2.92497171388032	3.46433805126034	3.73647196563817	6.79760568950568
Ames10255	-1.03796139331447	2.95750104666085	3.10097335251369	0.845477855416687	2.93643248398461	2.26807218227287	2.81946556610732	3.24067041366443	5.27461344744807
Ames10256	-1.04991990070719	4.95365821358317	2.75593881699141	1.28958632010424	6.58351837804073	1.29268728623747	3.42535049362628	6.55379982758094	8.59617590385399
Ames10261	-0.306029928281294	4.53097972926386	3.64876124184633	0.786634290506078	4.47707610210057	3.92317689060792	3.48766638806767	5.71512273621486	8.08259212010602
Ames10265	-2.85643468245146	2.74628333734886	2.73152620928301	1.27237509249435	6.93708089429552	2.04153689312733	2.59965135735971	7.12187132290383	7.99480376619714
Ames10271	-0.124511308177794	3.88054816836488	2.89430043551114	0.870381844364874	5.22675286712506	1.63202304946958	3.11945882922809	5.28913142963946	7.14452782414625
Ames10272	1.10260267945823	6.25023306581443	3.00599111059897	1.54027262846549	6.99743239009853	2.78874153355954	3.91812221358491	7.46731565088821	10.2904669913469
Ames10273	-0.854312259867786	2.69004752485899	4.02422340706875	1.18955704991396	5.27585107105953	3.43217489589327	3.11631692147163	6.13830845591845	7.74513971339446
Ames10274	1.04658424582252	4.48149984793038	3.54010406202982	2.02490852583518	7.78390466758169	4.23403647421701	3.52129754551713	8.91000345678945	10.6361945685475
Ames10277	-0.304117957988663	3.81647025758095	2.79077448515641	1.01413797039653	4.30959128386904	2.73415090951469	3.0685658245136	4.87178223035472	6.71097608623366
Ames10287	-0.481285716524962	4.11293405332495	2.45728774749723	0.523468619880886	3.08528421089533	1.71663162093677	3.0825511710623	3.0674703825791	5.61131350487566
Ames12727	-0.255349865286607	3.60366282509893	2.69121860966366	0.76307956400365	3.13724682596062	2.54320194597283	2.95535156290369	3.67648179242057	5.73474894481005
Ames12728	-1.17974916347424	3.2093529307323	3.9185775289	2.0253388807802	7.88465629269913	3.09992974823624	3.1774620515314	8.50707999374639	9.82067190216637
Ames12729	-1.46762349521853	2.28549079980647	3.41363788061944	0.838425678280431	3.91790399754767	4.02351550699137	2.73986287505781	5.3787257608099	6.66426154498756
Ames12730	-0.345862187344659	3.54220931157378	2.79405071589619	1.97068587654146	7.34692101046418	1.5426178729679	2.97544007090535	7.51374877873888	8.69987641923723
Ames12731	0.0142629133365776	4.62124748926088	2.28692254962865	2.1459213503761	7.28341053724146	2.18167562804373	3.2473328071251	7.67787694157701	9.21758481219457
Ames12740	0.138071556216286	4.49243235196703	2.6554577720235	1.43240649572668	6.46335204781544	2.41649993668529	3.28404668116475	6.81770673173905	8.57082175290094
Ames12814	-0.484116754131743	3.51204132620902	2.54443990359372	1.61822080600887	6.28596994218076	3.19756659320803	2.87033730343014	6.98986822407976	8.21767730627091
Ames12815	0.334923380619932	6.96491924626553	3.37133407125429	2.18183087428884	8.49572954925002	2.78251410041351	4.08899666283246	9.06322439697926	11.9361225404233
Ames12816	-0.388374705570547	3.16686349390055	2.91877857484942	1.05600906009371	5.81724707864467	3.91462307444791	2.85851682712908	6.82787273314317	8.01506838897835
Ames12817	-0.628326847884976	2.86029920917375	2.27193265789283	0.709783687471049	4.774601405772	1.67519234806037	2.48941875242524	4.79701394098454	5.93889247587461
Ames12818	0.579867367098694	5.42409031608066	3.75886376848111	1.88207761503079	7.3203415387535	4.25129853985815	3.77301223892973	8.47401042954279	10.7783052378377
Ames12819	-0.470841780396299	3.29915869381877	1.94935208979804	1.29212648722948	6.30708223222117	1.96983779179911	2.66953326248153	6.51161661494287	7.53589801218143
Ames12820	-0.766659660823393	2.99968444907127	2.35771983407698	1.17915318512906	5.58790219796302	1.97666380854206	2.58239645021981	5.75623299302591	6.88345983426939
Ames12822	-0.893086020782375	4.36635561046051	2.39284918998252	1.06297732478167	5.58219380476887	1.53245308802586	3.09812846273424	5.5934620433145	7.34781464110248
Ames12823	-0.849066605361429	4.76299731125265	2.4550174897544	1.44741726188408	NA	1.62146244236492	3.31127402241918	6.55516550591974	8.4155623050394
Ames12824	-1.20235608858207	3.90469001804241	3.04393934910011	1.14968281495376	5.74520859882389	3.80317941399035	3.14346163247245	6.77407873367294	8.32633033875068
Ames14112	0.277927154321803	4.66797373460905	3.13596587991643	0.966146526671809	5.02854559132161	3.08253479883034	3.45234115487197	5.6512317506894	8.0154169429918
Ames14113	-0.37993622772622	3.77598336026524	2.30094592092035	1.58504450946969	7.20546307422361	1.89362037246118	2.92254703439736	7.4064438599101	8.57889289768791
Ames14114	-0.966093829262266	3.63551261406146	2.89662565237554	0.890152961574582	3.62414859435978	2.55382256274785	3.01022123723327	4.13049772424583	6.16146062553353
Ames14115	-1.01106375997029	4.20738662319022	2.39821782642862	0.98592107087738	5.09981588138239	1.68971262882184	3.09809329808264	5.19668851096542	7.07054616419411
Ames14116	-1.16071401799591	4.52487672616614	3.63301284198116	1.18898566223483	6.11374862944168	2.72631322100011	3.4726018273651	6.53767502939692	8.70346017225333
