"LCMS.Plate","Envelope","PedId","RecId","Source","Gen","Pedigree","ID","Year","Tier","Plot","Range","Pass","Comments","Event.Name","Seed.Packaged.","Grind.Tube","Tube.Position","Datafile","Riboflavin","Nicotinic.Acid","Nicotinamide","Thiamine..13C.","Thiamine..d3.","Pyridoxal","Pyridoxamine","Pyridoxic.Acid","Pyridoxine","Trigonelline"
"Ames15-BV-025L","AMES15-EN-1423",2889554,2889823,"15SJMY:Nurse:1423",860,"58803 Mo17 (Meth) BcS3","PI 648432",2015,3,1423,10,37,"-","-","Yes","Ames15-GT-3877","D06","Ames15-BV-25L- 62",0.71113862,3.475338716,2.094670645,1.688543253,1.643038515,3.698090977,2.078389124,1.374652125,0.222770539,35.40725745
"Ames15-BV-24L","AMES15-EN-1424",2889555,2889824,"15SJMY:Nurse:1424",861,"Yellow 3-4","Ames 2331",2015,3,1424,10,38,"-","-","Yes","Ames15-GT-3634","E05","Ames15-BV-24L - 78",0.865383518,2.73779672,2.276417765,3.92509193,3.79894256,1.485525979,1.934431323,4.71371325,0.108501295,49.72516227
"Ames15-BV-17L","AMES15-EN-1425",2889556,2889825,"15SJMY:Nurse:1425",862,"52220","Ames 2336",2015,3,1425,10,39,"-","-","Yes","Ames15-GT-2665","F11","Ames15-BV-17L - 96",0.677548527,4.457544629,2.255233757,2.654397891,2.447387522,1.837960083,1.840962154,2.394999905,0.447772202,50.23074611
"Ames15-BV-06L","AMES15-EN-1426",2889557,2889826,"15SJMY:Nurse:1426",863,"NC83","Ames 12727",2015,3,1426,10,40,"-","-","Yes","Ames15-GT-4092","E06","Ames15-BV-06L - 79",0.881591634,4.7499989,2.559853982,3.241761654,3.061020915,4.22126712,1.544338296,1.769979158,0.252058306,16.57660938
"Ames15-BV-19L","AMES15-EN-1459",2889590,2889859,"15SJMY:Nurse:1459",864,"5261","NSL 15405",2015,3,1459,10,41,"sweet corn","-","Yes","Ames15-GT-3602","E06","Ames15-BV-19L - 79",0.958960521,3.514652564,2.633784612,2.419154995,3.016866956,1.965667606,0.912840465,4.276831137,0.118480329,50.52973931
"Ames15-BV-15L","AMES15-EN-1460",2889591,2889860,"15SJMY:Nurse:1460",865,"Oh33","NSL 28965",2015,3,1460,10,42,"-","-","Yes","Ames15-GT-2564","H01","Ames15-BV-15L - 110",0.881895075,4.18314468,2.710021821,1.658767317,1.802291909,1.060692501,1.266683805,1.913213655,0.224907001,25.71174421
"Ames15-BV-18L","AMES15-EN-1461",2889592,2889861,"15SJMY:Nurse:1461",1,"B73","14SJMY:Breed:0001",2015,3,1461,10,43,"-","Check","Yes","Ames15-GT-3729","C12","Ames15-BV-18L - 51",0.75073663,4.867744999,2.31289841,2.038740782,2.061746635,2.130138816,1.07342913,2.247336421,0.060647432,35.04941157
"Ames15-BV-17L","AMES15-EN-1462",2889593,2889862,"15SJMY:Nurse:1462",866,"Oh84","NSL 28968",2015,3,1462,10,44,"-","-","Yes","Ames15-GT-3716","G04","Ames15-BV-17L - 101",0.988162571,4.812002454,3.690538277,3.654823209,3.389956235,1.721913248,1.068903865,2.116832168,0.104224431,34.56962032
"Ames15-BV-26L","AMES15-EN-1431",2889562,2889831,"15SJMY:Nurse:1431",867,"B37 TRf","Ames 19283",2015,3,1431,10,45,"-","-","Yes","Ames15-GT-4549","C08","Ames15-BV-26L - 47",0.855172948,3.422072281,3.343233275,3.374199265,2.844406755,3.800082494,1.201724853,2.630436414,0.209788432,39.97579653
"Ames15-BV-07L","AMES15-EN-1432",2889563,2889832,"15SJMY:Nurse:1432",868,"A634","Ames 19308",2015,3,1432,10,46,"-","-","Yes","Ames15-GT-4412","G03","Ames15-BV-07L - 90",0.630743874,3.655265871,1.943870966,2.195523852,2.209662326,1.288457492,1.244527655,2.2957293,0.339700353,36.64674947
"Ames15-BV-13L","AMES15-EN-1433",2889564,2889833,"15SJMY:Nurse:1433",869,"H114","Ames 22751",2015,3,1433,10,47,"-","-","Yes","Ames15-GT-3856","C11","Ames15-BV-13L - 50",0.820708574,4.240083006,2.151275427,3.347716712,3.749929123,3.274232255,1.404471987,1.512675671,0.203444532,40.1635685
"Ames15-BV-14L","AMES15-EN-1434",2889565,2889834,"15SJMY:Nurse:1434",870,"Tx738","Ames 22765",2015,3,1434,10,48,"-","-","Yes","Ames15-GT-3644","A07","Ames15-BV-14L - 22",0.809259337,5.587364037,2.387080374,2.082958373,1.938121834,1.960113691,1.421417934,1.293804742,0.191383254,59.05096599
"Ames15-BV-03L","AMES15-EN-1467",2889598,2889867,"15SJMY:Nurse:1467",871,"R802A","NSL 117226",2015,3,1467,10,49,"-","-","Yes","Ames15-GT-4123","H01","Ames15-BV-03L- 118",1.221838962,2.878114572,4.229183053,2.415552449,2.644629872,2.571543109,2.141669542,3.070412509,0.441302359,22.8919655
"Ames15-BV-14L","AMES15-EN-1468",2889599,2889868,"15SJMY:Nurse:1468",872,"AusTRCF 306235","NSL 437930",2015,3,1468,10,50,"-","-","Yes","Ames15-GT-3871","B04","Ames15-BV-14L - 31",0.950778973,5.547438979,1.71440515,2.372138305,2.828136944,3.802132443,0.852367155,1.772812551,0.118784423,48.57222176
"Ames15-BV-025L","AMES15-EN-1469",2889600,2889869,"15SJMY:Nurse:1469",873,"AusTRCF 306258","NSL 437947",2015,3,1469,10,51,"-","-","Yes","Ames15-GT-4031","D09","Ames15-BV-25L- 65",0.75282019,4.756198088,2.949515587,1.707086141,1.713762467,2.339672515,1.852807227,2.116764304,0.102034769,14.94467075
"Ames15-BV-29L","AMES15-EN-1470",2889601,2889870,"15SJMY:Nurse:1470",874,"AusTRCF 306333","NSL 438019",2015,3,1470,10,52,"-","-","Yes","Ames15-GT-2628","E09","Ames15-BV-29L - 82",0.928126085,6.275353404,2.478907766,2.116855509,2.157172778,3.129380972,1.461000697,1.967481532,0.135772577,59.74188406
"Ames15-BV-19L","AMES15-EN-1439",2889570,2889839,"15SJMY:Nurse:1439",875,"MS223","Ames 24748",2015,3,1439,10,53,"-","-","Yes","Ames15-GT-3560","C04","Ames15-BV-19L - 43",0.813773807,3.474090812,2.498887006,3.909647359,4.607087905,1.55211446,2.059615802,2.072326086,0.193799111,51.38966097
