"HPLC.Plate.Number","Envelope","PedId","RecId","Source","Gen","Pedigree","ID","Year","Tier","Plot","Range","Pass","Comments","Event.Name","Seed.Packaged.","Grind.Tube","Position","Datafile","d.T3","g.T3","a.T3","d.T","g.T","a.T","PC.8","Total.Tocotrienols","Total.Tocopherols","Total.Tocochromanols"
"Ames15-CT010H","AMES15-EN-1423",2889554,2889823,"15SJMY:Nurse:1423",860,"58803 Mo17 (Meth) BcS3","PI 648432",2015,3,1423,10,37,"-","-","Yes","Ames15-GT-0098","C03","AMES-15-010H_AMES15-EN-1423_58803 Mo17 (Meth) BcS3_37.lcd",0.218756975,8.143646509,4.842270471,1.389189265,40.31368577,7.135543172,0.60171288,13.20467396,48.8384182,62.64480504
"Ames15-CT019H","AMES15-EN-1424",2889555,2889824,"15SJMY:Nurse:1424",861,"Yellow 3-4","Ames 2331",2015,3,1424,10,38,"-","-","Yes","Ames15-GT-1575","G05","AMES-15-CT-019H_AMES15-EN-1424_Yellow 3-4_93.lcd",0.146115398,4.662733337,5.028267325,1.593529745,53.99321522,4.005763188,1.108443747,9.83711606,59.59250815,70.53806796
"Ames15-CT003H","AMES15-EN-1425",2889556,2889825,"15SJMY:Nurse:1425",862,"52220","Ames 2336",2015,3,1425,10,39,"-","-","Yes","Ames15-GT-0672","F08","AMES-15-003H_AMES15-EN-1425_52220_75.lcd",1.533716871,21.89396234,10.01374977,1.780781791,18.15125554,7.187755269,0.993590274,33.44142898,27.1197926,61.55481186
"Ames15-CT019H","AMES15-EN-1426",2889557,2889826,"15SJMY:Nurse:1426",863,"NC83","Ames 12727",2015,3,1426,10,40,"-","-","Yes","Ames15-GT-1710","D11","AMES-15-CT-019H_AMES15-EN-1426_NC83_58.lcd",0.814525763,12.45269803,6.270088705,0.060498898,8.009388324,4.693721095,0.9452724,19.53731249,12.76360832,33.24619321
"Ames15-CT015H","AMES15-EN-1459",2889590,2889859,"15SJMY:Nurse:1459",864,"5261","NSL 15405",2015,3,1459,10,41,"sweet corn","-","Yes","Ames15-GT-0554","C07","AMES-15-CT-015H_AMES15-EN-1459_5261_41.lcd",0.925347379,19.96171641,6.48324698,1.697875721,42.08247498,6.666988054,1.45118228,27.37031076,50.44733875,79.2688318
"Ames15-CT009H","AMES15-EN-1460",2889591,2889860,"15SJMY:Nurse:1460",865,"Oh33","NSL 28965",2015,3,1460,10,42,"-","-","Yes","Ames15-GT-1042","C03","AMES-15-009H_AMES15-EN-1460_Oh33_37.lcd",1.806302051,21.32857177,7.659061273,1.692713241,46.1859213,12.78254312,0.775315617,30.79393509,60.66117766,92.23042837
"Ames15-CT004H","AMES15-EN-1461",2889592,2889861,"15SJMY:Nurse:1461",1,"B73","14SJMY:Breed:0001",2015,3,1461,10,43,"-","Check","Yes","Ames15-GT-1021","B01","AMES-15-004H_AMES15-EN-1461_B73_21.lcd",1.645794989,43.04460912,9.223226025,5.235261189,42.77079354,5.00031639,1.145396887,53.91363014,53.00637112,108.0653981
"Ames15-CT018H","AMES15-EN-1462",2889593,2889862,"15SJMY:Nurse:1462",866,"Oh84","NSL 28968",2015,3,1462,10,44,"-","-","Yes","Ames15-GT-1153","H02","AMES-15-018H_AMES15-EN-1462_Oh84_103.lcd",1.514755807,15.33556695,6.382246711,0.20140553,10.28558368,2.042631985,0.829570558,18.18479252,12.5296212,31.54398428
"Ames15-CT010H","AMES15-EN-1431",2889562,2889831,"15SJMY:Nurse:1431",867,"B37 TRf","Ames 19283",2015,3,1431,10,45,"-","-","Yes","Ames15-GT-0014","E10","AMES-15-010H_AMES15-EN-1431_B37 TRf_71.lcd",0.227027302,4.909606917,5.677266465,0.869797594,21.78115623,8.059265639,0.647262998,10.81390068,30.71021946,42.17138314
"Ames15-CT002H","AMES15-EN-1432",2889563,2889832,"15SJMY:Nurse:1432",868,"A634","Ames 19308",2015,3,1432,10,46,"-","-","Yes","Ames15-GT-1191","B06","AMES-15-02H_AMES15-EN-1432_A634_26.lcd",0.417863429,18.62475017,7.569284662,0.612279393,31.94459768,8.591309576,1.579726289,34.18118292,41.14818665,76.90909586
"Ames15-CT017H","AMES15-EN-1433",2889564,2889833,"15SJMY:Nurse:1433",869,"H114","Ames 22751",2015,3,1433,10,47,"-","-","Yes","Ames15-GT-0145","C07","AMES-15-CT-017H_AMES15-EN-1433_H114_41.lcd",0.667305707,28.73959463,6.546773408,2.602838447,68.97934784,0.736535747,1.008799813,35.95367374,72.31872203,109.2811956
"Ames15-CT016H","AMES15-EN-1434",2889565,2889834,"15SJMY:Nurse:1434",870,"Tx738","Ames 22765",2015,3,1434,10,48,"-","-","Yes","Ames15-GT-1420","C06","AMES-15-016H_AMES15-EN-1434_Tx738_40.lcd",0.225112751,8.785218584,8.184764941,1.007281017,26.68026391,5.145971802,0.895007878,17.19509628,32.83351673,50.92362088
"Ames15-CT013H","AMES15-EN-1467",2889598,2889867,"15SJMY:Nurse:1467",871,"R802A","NSL 117226",2015,3,1467,10,49,"-","-","Yes","Ames15-GT-0248","B08","AMES-15-013H_AMES15-EN-1467_R802A_28.lcd",1.711806384,20.29553501,4.040777441,2.124287139,78.83986619,6.655910803,0.597573575,26.04811883,87.62006413,114.2657565
"Ames15-CT016H","AMES15-EN-1468",2889599,2889868,"15SJMY:Nurse:1468",872,"AusTRCF 306235","NSL 437930",2015,3,1468,10,50,"-","-","Yes","Ames15-GT-1549","C10","AMES-15-016H_AMES15-EN-1468_AusTRCF 306235_44.lcd",1.232707295,33.74188166,8.182615129,1.712467544,42.41915735,7.417546891,1.009270335,43.15720408,51.54917178,95.7156462
"Ames15-CT012H","AMES15-EN-1469",2889600,2889869,"15SJMY:Nurse:1469",873,"AusTRCF 306258","NSL 437947",2015,3,1469,10,51,"-","-","Yes","Ames15-GT-1763","H10","AMES-15-012H_AMES15-EN-1469_AusTRCF 306258_111.lcd",0.176678694,11.67850967,7.79057819,0.668206773,23.8324202,4.45335933,0.741662226,19.64576656,28.95398631,49.34141509
"Ames15-CT011H","AMES15-EN-1470",2889601,2889870,"15SJMY:Nurse:1470",874,"AusTRCF 306333","NSL 438019",2015,3,1470,10,52,"-","-","Yes","Ames15-GT-1870","H07","AMES-15-011H_AMES15-EN-1470_AusTRCF 306333_108.lcd",0.283948848,20.56445656,3.615180531,2.224057659,46.3549218,0.404128066,0.688280116,24.46358594,48.98310752,74.13497358
"Ames15-CT015H","AMES15-EN-1439",2889570,2889839,"15SJMY:Nurse:1439",875,"MS223","Ames 24748",2015,3,1439,10,53,"-","-","Yes","Ames15-GT-0109","C09","AMES-15-CT-015H_AMES15-EN-1439_MS223_43.lcd",1.736884094,31.32469651,14.30801544,0.499381408,44.71454507,19.37297694,1.444752213,47.36959604,64.58690342,113.4012517
"Ames15-CT018H","AMES15-EN-1440",2889571,2889840,"15SJMY:Nurse:1440",876,"CI 20","Ames 26120",2015,3,1440,10,54,"-","-","Yes","Ames15-GT-0488","G07","AMES-15-018H_AMES15-EN-1440_CI 20_95.lcd",0.040510452,0.747011441,2.167776455,1.656543903,55.41323337,5.312163203,0.930333925,1.240784242,62.38194048,64.55305865
"Ames15-CT012H","AMES15-EN-1441",2889572,2889841,"15SJMY:Nurse:1441",877,"CI 75","Ames 26134",2015,3,1441,10,55,"-","-","Yes","Ames15-GT-1177","F05","AMES-15-012H_AMES15-EN-1441_CI 75_79.lcd",0.168667739,5.38748249,2.416296796,0.573526384,26.06596674,3.696081909,0.698498797,7.972447026,30.33557503,39.00652086
"Ames15-CT002H","AMES15-EN-1442",2889573,2889842,"15SJMY:Nurse:1442",878,"WXL317","Ames 26754",2015,3,1442,10,56,"-","-","Yes","Ames15-GT-0806","C10","AMES-15-02H_AMES15-EN-1442_WXL317_44.lcd",0.212786013,2.293833396,5.525266535,1.575713532,43.78294432,9.611972847,1.039425052,13.55715248,54.9706307,69.56720823
"Ames15-CT016H","AMES15-EN-1475",2889606,2889875,"15SJMY:Nurse:1475",879,"R-22 INBR.FR.SUPERGOLD","PI 340859",2015,3,1475,10,57,"popcorn","-","Yes","Ames15-GT-1075","A04","AMES-15-016H_AMES15-EN-1475_R-22 INBR.FR.SUPERGOLD_11.lcd",0.106101226,5.758398404,3.112545945,0.60975958,18.29228126,2.87679896,0.904909474,8.977045574,21.7788398,31.66079485
"Ames15-CT018H","AMES15-EN-1476",2889607,2889876,"15SJMY:Nurse:1476",880,"21-396-68(B)","PI 358535",2015,3,1476,10,58,"sweet corn","-","Yes","Ames15-GT-0499","B04","AMES-15-018H_AMES15-EN-1476_21-396-68(B)_24.lcd",0.320557212,15.16083965,7.630121624,1.348399159,46.33573819,3.909237166,0.97069119,17.07678593,51.59337452,69.64085164
"Ames15-CT012H","AMES15-EN-1477",2889608,2889877,"15SJMY:Nurse:1477",881,"TZU-CHIAO-HSI-WU 105","PI 391678",2015,3,1477,10,59,"-","-","Yes","Ames15-GT-0377","G07","AMES-15-012H_AMES15-EN-1477_TZU-CHIAO-HSI-WU 105_95.lcd",0.187686971,7.646166754,3.380768063,0.749789646,21.4242454,2.001975944,0.6682313,11.21462179,24.17601099,36.05886408
"Ames15-CT006H","AMES15-EN-1478",2889609,2889878,"15SJMY:Nurse:1478",882,"WU-TAN-TZAO","PI 391680",2015,3,1478,10,60,"-","-","Yes","Ames15-GT-1488","E06","AMES-15-006H_AMES15-EN-1478_WU-TAN-TZAO_67.lcd",0.487575145,10.87893155,5.584096448,0.540724102,25.35156652,4.974062464,1.015613122,16.95060314,30.86635309,48.83256936
"Ames15-CT006H","AMES15-EN-1447",2889578,2889847,"15SJMY:Nurse:1447",883,"CSJ3","Ames 27057",2015,3,1447,10,61,"-","-","Yes","Ames15-GT-0347","H02","AMES-15-006H_AMES15-EN-1447_CSJ3_103.lcd",0.716339336,17.20609762,4.996016961,1.248257264,47.8845389,7.210444724,1.234180453,22.91845391,56.34324089,80.49587525
"Ames15-CT002H","AMES15-EN-1448",2889579,2889848,"15SJMY:Nurse:1448",884,"NC260","Ames 27140",2015,3,1448,10,62,"-","-","Yes","Ames15-GT-1438","A04","AMES-15-02H_AMES15-EN-1448_NC260_11.lcd",0.616564895,9.129994868,6.636066035,1.001148972,33.62093785,11.60754161,1.551110506,23.01869183,46.22962843,70.79943077
"Ames15-CT010H","AMES15-EN-1449",2889580,2889849,"15SJMY:Nurse:1449",885,"NC292","Ames 27142",2015,3,1449,10,63,"-","-","Yes","Ames15-GT-1887","D01","AMES-15-010H_AMES15-EN-1449_NC292_48.lcd",1.665957125,31.81348313,6.574995757,2.482547362,35.03003815,6.629862679,0.759138688,40.05443601,44.14244819,84.95602289
"Ames15-CT009H","AMES15-EN-1450",2889581,2889850,"15SJMY:Nurse:1450",886,"Il767b","Ames 27445",2015,3,1450,10,64,"sweet corn","-","Yes","Ames15-GT-1409","H12","AMES-15-009H_AMES15-EN-1450_Il767b_113.lcd",0.390473839,23.93997185,6.781455852,0.711187577,35.98064982,2.176877203,0.770567785,31.11190154,38.8687146,70.75118393
"Ames15-CT009H","AMES15-EN-1484",2889615,2889884,"15SJMY:Nurse:1484",888,"PHR55","PI 548804",2015,3,1484,10,66,"-","-","Yes","Ames15-GT-0133","F05","AMES-15-009H_AMES15-EN-1484_PHR55_79.lcd",0.327747215,2.22940472,5.836881883,2.67690097,15.52011436,5.531081629,0.723289887,8.394033818,23.72809696,32.84542066
"Ames15-CT015H","AMES15-EN-1485",2889616,2889885,"15SJMY:Nurse:1485",889,"PHR58","PI 548805",2015,3,1485,10,67,"-","-","Yes","Ames15-GT-0965","B04","AMES-15-CT-015H_AMES15-EN-1485_PHR58_24.lcd",0.611543759,17.77131138,7.937875417,0.486269202,32.84899644,7.482740265,1.677496662,26.32073055,40.81800591,68.81623312
"Ames15-CT008H","AMES15-EN-1486",2889617,2889886,"15SJMY:Nurse:1486",890,"Mo20W","PI 550442",2015,3,1486,10,68,"-","-","Yes","Ames15-GT-1559","G11","AMES-15-008H_AMES15-EN-1486_Mo20W_99.lcd",2.452440178,76.25409653,7.005296242,0.311786078,12.1372089,0.261579459,0.748120872,89.24056277,12.71057444,102.6992581
"Ames15-CT011H","AMES15-EN-1455",2889586,2889855,"15SJMY:Nurse:1455",891,"AD H10","Ames 28989",2015,3,1455,11,37,"popcorn","-","Yes","Ames15-GT-1787","B05","AMES-15-011H_AMES15-EN-1455_AD H10_25.lcd",0.195749606,3.596564797,2.692847002,1.115612257,25.96893158,1.463777634,0.703513812,6.485161405,28.54832147,35.73699669
"Ames15-CT017H","AMES15-EN-1456",2889587,2889856,"15SJMY:Nurse:1456",892,"AD 363-1","Ames 28992",2015,3,1456,11,38,"popcorn","-","Yes","Ames15-GT-0735","D08","AMES-15-CT-017H_AMES15-EN-1456_AD 363-1_55.lcd",0.227756354,7.097949262,5.14880851,3.14802426,63.16337678,7.54479239,0.976556846,12.47451413,73.85619343,87.3072644
"Ames15-CT013H","AMES15-EN-1457",2889588,2889857,"15SJMY:Nurse:1457",893,"AD SA7","Ames 29007",2015,3,1457,11,39,"popcorn","-","Yes","Ames15-GT-0775","G03","AMES-15-013H_AMES15-EN-1457_AD SA7_91.lcd",0.14835976,4.834106107,2.896692795,2.54739019,39.63168161,0.658165863,0.618552577,7.879158663,42.83723766,51.3349489
"Ames15-CT010H","AMES15-EN-1458",2889589,2889858,"15SJMY:Nurse:1458",894,"AD SA14","Ames 29014",2015,3,1458,11,40,"popcorn","-","Yes","Ames15-GT-0614","C06","AMES-15-010H_AMES15-EN-1458_AD SA14_40.lcd",0.054595577,2.655348548,3.678631468,2.234522633,30.16710594,2.405208143,0.722403272,6.388575593,34.80683672,41.91781558
