"INDV","F_MISS","acc_v2.7","id_v2.7"
"05-397:250007467",0.147664,"05-397",250007467
"05-438:250007407",0.157607,"05-438",250007407
"12E:250032344",0.217092,"12E",250032344
"207:250007202",0.999995,"207",250007202
"22612:250007466",0.138477,"22612",250007466
"25-046:250007188",0.12456,"25-046",250007188
"3042:250007205",0.0833797,"3042",250007205
"3102-23:250007412",0.116983,"3102-23",250007412
"3167B:250032828",0.268171,"3167B",250032828
"32311C-A:250007406",0.141428,"32311C-A",250007406
"33-16:250039809",0.168731,"33-16",250039809
"33-16:250047984",0.167162,"33-16",250047984
"38-11:250040073",0.131567,"38-11",250040073
"4226:250040088",0.248579,"4226",250040088
"45-004:250007154",0.174834,"45-004",250007154
"45-195:250007206",0.184798,"45-195",250007206
"45-197:250007208",0.175719,"45-197",250007208
"45-198:250007209",0.18893,"45-198",250007209
"4722:250040158",0.204459,"4722",250040158
"5111-13:250007183",0.998701,"5111-13",250007183
"5111-14:250007148",0.128548,"5111-14",250007148
"5111-16:250007182",0.14082,"5111-16",250007182
"5111-17:250007146",0.145979,"5111-17",250007146
"5111-8:250007152",0.143007,"5111-8",250007152
"5111-9:250007153",0.126549,"5111-9",250007153
"5201-10:250007165",0.104509,"5201-10",250007165
"5201-11:250007163",0.100117,"5201-11",250007163
"5201-12:250007166",0.113189,"5201-12",250007166
"5201-13:250007164",0.0968939,"5201-13",250007164
"5201-14:250007170",0.0928015,"5201-14",250007170
"5201-15:250007168",0.0971387,"5201-15",250007168
"5201-17:250007169",0.0890822,"5201-17",250007169
"5201-18:250007174",0.999974,"5201-18",250007174
"5201-19:250007190",0.126949,"5201-19",250007190
"5201-20:250007173",0.999969,"5201-20",250007173
"5201-21:250007172",0.999965,"5201-21",250007172
"5201-22:250007147",0.188634,"5201-22",250007147
"5201-23:250007189",0.999911,"5201-23",250007189
"5201-5:250007160",0.10034,"5201-5",250007160
"5201-7:250007162",0.106728,"5201-7",250007162
"5201-8:250007161",0.101827,"5201-8",250007161
"5201-9:250007167",0.102694,"5201-9",250007167
"5202-10:250007179",0.999955,"5202-10",250007179
"5202-11:250007191",0.999895,"5202-11",250007191
"5202-12:250007180",0.999945,"5202-12",250007180
"5202-13:250007193",0.999827,"5202-13",250007193
"5202-14:250007196",0.105826,"5202-14",250007196
"5202-17:250007194",0.115027,"5202-17",250007194
"5202-18:250007198",0.999985,"5202-18",250007198
"5202-19:250007197",0.103143,"5202-19",250007197
"5202-20:250007200",0.999955,"5202-20",250007200
"5202-21:250007201",0.999977,"5202-21",250007201
"5202-23:250007199",0.095782,"5202-23",250007199
"5202-5:250007177",0.999988,"5202-5",250007177
"5202-6:250007178",0.99999,"5202-6",250007178
