"ID_cleanformat","ID","Pedigree","Comments_merged","Comments_isu_gb","Comments_note","Inbred.line","Breeding.program","Pop.structure"
"ames10249","Ames 10249","GA212","other_unclassified","unclassified","ok","GA212","Other","unclassified"
"ames10252","Ames 10252","GA222","other_unclassified","unclassified","ok","GA222","Other","unclassified"
"ames10254","Ames 10254","GE54","other_unclassified","unclassified","ok","GE54","Other","unclassified"
"ames10255","Ames 10255","GE72","other_unclassified","unclassified","ok","GE72","Other","unclassified"
"ames10256","Ames 10256","GE129","other_unclassified","unclassified","ok","GE129","Other","unclassified"
"ames10261","Ames 10261","GE335","other_unclassified","unclassified","ok","GE335","Other","unclassified"
"ames10265","Ames 10265","L 678","other_unclassified","unclassified","ok","L678","Other","unclassified"
"ames10271","Ames 10271","SC84E","other_unclassified","unclassified","ok","SC84E","Other","unclassified"
"ames10272","Ames 10272","SC90","other_unclassified","unclassified","ok","SC90","Other","unclassified"
"ames10273","Ames 10273","SC102","other_unclassified","unclassified","ok","SC102","Other","unclassified"
"ames10274","Ames 10274","SC144","other_unclassified","unclassified","ok","SC144","Other","unclassified"
"ames10277","Ames 10277","SC235","other_unclassified","unclassified","ok","SC235","Other","unclassified"
"ames10287","Ames 10287","ABPl 3","other_unclassified","unclassified","ok","ABPl3","Other","unclassified"
"ames12727","Ames 12727","NC83","other_unclassified","unclassified","ok","NC83","North Carolina","unclassified"
"ames12728","Ames 12728","NC220","other_unclassified","unclassified","ok","NC220","North Carolina","unclassified"
"ames12729","Ames 12729","NC222","other_unclassified","unclassified","ok","NC222","North Carolina","unclassified"
"ames12730","Ames 12730","NC224","other_unclassified","unclassified","ok","NC224","North Carolina","unclassified"
"ames12731","Ames 12731","NC230","other_unclassified","unclassified","ok","NC230","North Carolina","unclassified"
"ames12740","Ames 12740","NC248","other_unclassified","unclassified","ok","NC248","North Carolina","unclassified"
"ames12814","Ames 12814","89S4083","other_unclassified","unclassified","ok","89S4083","Other","unclassified"
"ames12815","Ames 12815","89S4098","other_unclassified","unclassified","ok","89S4098","Other","unclassified"
"ames12816","Ames 12816","89S4107","other_unclassified","unclassified","ok","89S4107","Other","unclassified"
"ames12817","Ames 12817","89S4110","other_unclassified","unclassified","ok","89S4110","Other","unclassified"
"ames12818","Ames 12818","89S4117","other_unclassified","unclassified","ok","89S4117","Other","unclassified"
"ames12819","Ames 12819","89S4125","other_unclassified","unclassified","ok","89S4125","Other","unclassified"
"ames12820","Ames 12820","89S4127","other_unclassified","unclassified","ok","89S4127","Other","unclassified"
"ames12821","Ames 12821","89S4145","other_unclassified","unclassified","ok","89S4145","Other","unclassified"
"ames12822","Ames 12822","89S4154","other_unclassified","unclassified","ok","89S4154","Other","unclassified"
"ames12823","Ames 12823","89S4157","other_unclassified","unclassified","ok","89S4157","Other","unclassified"
"ames12824","Ames 12824","89S4190","other_unclassified","unclassified","ok","89S4190","Other","unclassified"
"ames14112","Ames 14112","Va3A","other_unclassified","unclassified","ok","Va3A","Other","unclassified"
"ames14113","Ames 14113","Va12C","other_unclassified","unclassified","ok","Va12C","Other","unclassified"
"ames14114","Ames 14114","Va14A","other_unclassified","unclassified","ok","Va14A","Other","unclassified"
"ames14115","Ames 14115","Va35C","other_non-stiff stalk","non-stiff stalk","ok","Va35C","Other","non-stiff stalk"
"ames14116","Ames 14116","Va36A","other_non-stiff stalk","non-stiff stalk","ok","Va36A","Other","non-stiff stalk"
"ames14211","Ames 14211","EAST 028 WHITE COB","other_unclassified","unclassified","ok","EAST028WHITECOB","China","unclassified"
"ames18999","Ames 18999","Ab28A","other_unclassified","unclassified","ok","Ab28A","Other","unclassified"
"ames19000","Ames 19000","VaW6","other_unclassified","unclassified","ok","VaW6","Other","unclassified"
"ames19001","Ames 19001","Va16","other_unclassified","unclassified","ok","Va16","Other","unclassified"
"ames19002","Ames 19002","Va17","other_unclassified","unclassified","ok","Va17","Other","unclassified"
"ames19003","Ames 19003","Va18A","other_unclassified","unclassified","ok","Va18A","Other","unclassified"
"ames19004","Ames 19004","Va21A","other_unclassified","unclassified","ok","Va21A","Other","unclassified"
"ames19006","Ames 19006","Va22B","other_non-stiff stalk","non-stiff stalk","ok","Va22B","Other","non-stiff stalk"
"ames19007","Ames 19007","Va23","other_unclassified","unclassified","ok","Va23","Other","unclassified"
"ames19008","Ames 19008","Va24","other_unclassified","unclassified","ok","Va24","Other","unclassified"
"ames19009","Ames 19009","Va30","other_unclassified","unclassified","ok","Va30","Other","unclassified"
"ames19010","Ames 19010","Va37","other_unclassified","unclassified","ok","Va37","Other","unclassified"
"ames19011","Ames 19011","Va38","other_unclassified","unclassified","ok","Va38","Other","unclassified"
"ames19012","Ames 19012","Va39","other_unclassified","unclassified","ok","Va39","Other","unclassified"
"ames19013","Ames 19013","Va46","other_unclassified","unclassified","ok","Va46","Other","unclassified"
"ames19014","Ames 19014","Va52","other_unclassified","unclassified","ok","Va52","Other","unclassified"
"ames19016","Ames 19016","Va59","other_non-stiff stalk","non-stiff stalk","ok","Va59","Other","non-stiff stalk"
"ames19017","Ames 19017","Va60","other_unclassified","unclassified","ok","Va60","Other","unclassified"
"ames19019","Ames 19019","Va91","other_unclassified","unclassified","ok","Va91","Other","unclassified"
"ames19283","Ames 19283","B37 TRf","other_stiff stalk","stiff stalk","ok","B37TRf","Iowa","stiff stalk"
"ames19284","Ames 19284","C103","other_non-stiff stalk","non-stiff stalk","ok","C103","Other","non-stiff stalk"
"ames19287","Ames 19287","Mo17TRf","other_non-stiff stalk","non-stiff stalk","ok","Mo17TRf","Other","non-stiff stalk"
"ames19288","Ames 19288","Oh43","other_non-stiff stalk","non-stiff stalk","ok","Oh43","Other","non-stiff stalk"
"ames19293","Ames 19293","Wf9","other_stiff stalk","stiff stalk","ok","Wf9","Other","stiff stalk"
"ames19308","Ames 19308","A634","other_stiff stalk","stiff stalk","ok","A634","Minnesota","stiff stalk"
"ames19309","Ames 19309","A635","other_stiff stalk","stiff stalk","ok","A635","Minnesota","stiff stalk"
"ames19311","Ames 19311","A641","other_stiff stalk","stiff stalk","ok","A641","Minnesota","stiff stalk"
"ames19313","Ames 19313","C123","other_non-stiff stalk","non-stiff stalk","ok","C123","Other","non-stiff stalk"
"ames19316","Ames 19316","CM174","other_unclassified","unclassified","ok","CM174","Other","unclassified"
"ames19318","Ames 19318","H107","other_non-stiff stalk","non-stiff stalk","ok","H107","Indiana","non-stiff stalk"
"ames19319","Ames 19319","H95","other_non-stiff stalk","non-stiff stalk","ok","H95","Indiana","non-stiff stalk"
"ames19321","Ames 19321","N28","other_unclassified","unclassified","ok","N28","Nebraska","unclassified"
"ames19323","Ames 19323","Oh7B","other_unclassified","unclassified","ok","Oh7B","Other","unclassified"
"ames19324","Ames 19324","Pa871","other_unclassified","unclassified","ok","Pa871","Other","unclassified"
"ames19326","Ames 19326","R168","other_unclassified","unclassified","ok","R168","Illinois","unclassified"
