"ID_cleanformat","ID","Pedigree","Comments_isu_gb","Comments_note"
"13a089451a","13A089451A","DE3","other","ok"
"ames10249","Ames 10249","GA212","other","ok"
"ames10252","Ames 10252","GA222","other","ok"
"ames10254","Ames 10254","GE54","other","ok"
"ames10255","Ames 10255","GE72","other","ok"
"ames10256","Ames 10256","GE129","other","ok"
"ames10261","Ames 10261","GE335","other","ok"
"ames10265","Ames 10265","L 678","other","ok"
"ames10271","Ames 10271","SC84E","other","ok"
"ames10272","Ames 10272","SC90","other","ok"
"ames10273","Ames 10273","SC102","other","ok"
"ames10274","Ames 10274","SC144","other","ok"
"ames10277","Ames 10277","SC235","other","ok"
"ames10287","Ames 10287","ABPl 3","other","ok"
"ames12727","Ames 12727","NC83","other","ok"
"ames12728","Ames 12728","NC220","other","ok"
"ames12729","Ames 12729","NC222","other","ok"
"ames12730","Ames 12730","NC224","other","ok"
"ames12731","Ames 12731","NC230","other","ok"
"ames12740","Ames 12740","NC248","other","ok"
"ames12814","Ames 12814","89S4083","other","ok"
"ames12815","Ames 12815","89S4098","other","ok"
"ames12816","Ames 12816","89S4107","other","ok"
"ames12817","Ames 12817","89S4110","other","ok"
"ames12818","Ames 12818","89S4117","other","ok"
"ames12819","Ames 12819","89S4125","other","ok"
"ames12820","Ames 12820","89S4127","other","ok"
"ames12821","Ames 12821","89S4145","other","ok"
"ames12822","Ames 12822","89S4154","other","ok"
"ames12823","Ames 12823","89S4157","other","ok"
"ames12824","Ames 12824","89S4190","other","ok"
"ames14112","Ames 14112","Va3A","other","ok"
"ames14113","Ames 14113","Va12C","other","ok"
"ames14114","Ames 14114","Va14A","other","ok"
"ames14115","Ames 14115","Va35C","other","ok"
"ames14116","Ames 14116","Va36A","other","ok"
"ames14211","Ames 14211","EAST 028 WHITE COB","other","ok"
"ames18999","Ames 18999","Ab28A","other","ok"
"ames19000","Ames 19000","VaW6","other","ok"
"ames19001","Ames 19001","Va16","other","ok"
"ames19002","Ames 19002","Va17","other","ok"
"ames19003","Ames 19003","Va18A","other","ok"
"ames19004","Ames 19004","Va21A","other","ok"
"ames19006","Ames 19006","Va22B","other","ok"
"ames19007","Ames 19007","Va23","other","ok"
"ames19008","Ames 19008","Va24","other","ok"
"ames19009","Ames 19009","Va30","other","ok"
"ames19010","Ames 19010","Va37","other","ok"
"ames19011","Ames 19011","Va38","other","ok"
"ames19012","Ames 19012","Va39","other","ok"
"ames19013","Ames 19013","Va46","other","ok"
"ames19014","Ames 19014","Va52","other","ok"
"ames19016","Ames 19016","Va59","other","ok"
"ames19017","Ames 19017","Va60","other","ok"
"ames19019","Ames 19019","Va91","other","ok"
"ames19283","Ames 19283","B37 TRf","other","ok"
