"ID","Pedigree","Comments"
"13A089451A","DE3","other"
"Ames 10249","GA212","other"
"Ames 10254","GE54","other"
"Ames 10255","GE72","other"
"Ames 10256","GE129","other"
"Ames 10261","GE335","other"
"Ames 10271","SC84E","other"
"Ames 10272","SC90","other"
"Ames 10273","SC102","other"
"Ames 10274","SC144","other"
"Ames 10277","SC235","other"
"Ames 10287","ABPl 3","other"
"Ames 12727","NC83","other"
"Ames 12728","NC220","other"
"Ames 12729","NC222","other"
"Ames 12730","NC224","other"
"Ames 12731","NC230","other"
"Ames 12740","NC248","other"
"Ames 12814","89S4083","other"
"Ames 12815","89S4098","other"
"Ames 12816","89S4107","other"
"Ames 12817","89S4110","other"
"Ames 12818","89S4117","other"
"Ames 12819","89S4125","other"
"Ames 12820","89S4127","other"
"Ames 12821","89S4145","other"
"Ames 12822","89S4154","other"
"Ames 12823","89S4157","other"
"Ames 12824","89S4190","other"
"Ames 14112","Va3A","other"
"Ames 14113","Va12C","other"
"Ames 14114","Va14A","other"
"Ames 14115","Va35C","other"
"Ames 14116","Va36A","other"
"Ames 14211","EAST 028 WHITE COB","other"
"Ames 18999","Ab28A","other"
"Ames 19000","VaW6","other"
"Ames 19001","Va16","other"
"Ames 19002","Va17","other"
"Ames 19003","Va18A","other"
"Ames 19004","Va21A","other"
"Ames 19006","Va22B","other"
"Ames 19007","Va23","other"
"Ames 19008","Va24","other"
"Ames 19009","Va30","other"
"Ames 19010","Va37","other"
"Ames 19011","Va38","other"
"Ames 19012","Va39","other"
"Ames 19013","Va46","other"
"Ames 19016","Va59","other"
"Ames 19017","Va60","other"
"Ames 19019","Va91","other"
"Ames 19283","B37 TRf","other"
"Ames 19284","C103","other"
"Ames 19287","Mo17TRf","other"
"Ames 19288","Oh43","other"
"Ames 19293","Wf9","other"
"Ames 19308","A634","other"
"Ames 19309","A635","other"
"Ames 19313","C123","other"
"Ames 19316","CM174","other"
"Ames 19318","H107","other"
"Ames 19319","H95","other"
"Ames 19321","N28","other"
"Ames 19323","Oh7B","other"
"Ames 19324","Pa871","other"
"Ames 19326","R168","other"
"Ames 19328","Va22","other"
"Ames 19330","W182B","other"
"Ames 20118","Mo25W","other"
"Ames 20120","Mo42","other"
"Ames 20136","H21W","other"
"Ames 20137","H25W","other"
"Ames 20140","Mt42","other"
"Ames 20190","CM37","other"
"Ames 21095","R12","other"
