"ID","Pedigree","Comments"
"Ames 19323","Oh7B","other"
"Ames 19326","R168","other"
"Ames 19330","W182B","other"
"Ames 22021","C38","sweet corn"
"Ames 23506","C38","sweet corn"
"Ames 27038","CMV3","other"
"Ames 27050","CO255","other"
"Ames 27104","CMV3","other"
"Ames 27107","CO255","other"
"NSL 22629","Oh7B","other"
"NSL 242483","R105","other"
"NSL 30058","W64A","other"
"NSL 30059","W153R","other"
"NSL 30062","W182B","other"
"NSL 30880","R105","other"
"NSL 30891","R168","other"
"NSL 53086","SC 212M","other"
"NSL 53094","SC 357","other"
"NSL 68242","SC 212M","other"
"NSL 68252","SC 357","other"
"NSL 8585","P39","sweet corn"
"PI 587133","P39","sweet corn"
"PI 587152","W64A","other"
"PI 587154","W153R","other"
