"ID","Pedigree","Comments","INDV","F_MISS","acc_v2.7","id_v2.7"
"Ames 10249","GA212","other","Ames10249:250033148",0.259815,"Ames10249",250033148
"Ames 10252","GA222","other","Ames10252:250033235",0.24278,"Ames10252",250033235
"Ames 10254","GE54","other","Ames10254:250033198",0.219847,"Ames10254",250033198
"Ames 10255","GE72","other","Ames10255:250033271",0.217631,"Ames10255",250033271
"Ames 10256","GE129","other","Ames10256:250042417",0.452997,"Ames10256",250042417
"Ames 10256","GE129","other","Ames10256:250033096",0.286512,"Ames10256",250033096
"Ames 10261","GE335","other","Ames10261:250033107",0.222343,"Ames10261",250033107
"Ames 10265","L 678","other","Ames10265:250035124",0.323681,"Ames10265",250035124
"Ames 10271","SC84E","other","Ames10271:250031710",0.209206,"Ames10271",250031710
"Ames 10272","SC90","other","Ames10272:250033211",0.271388,"Ames10272",250033211
"Ames 10273","SC102","other","Ames10273:250031771",0.257537,"Ames10273",250031771
"Ames 10274","SC144","other","Ames10274:250042502",0.436845,"Ames10274",250042502
"Ames 10274","SC144","other","Ames10274:250033192",0.394383,"Ames10274",250033192
"Ames 10277","SC235","other","Ames10277:250033095",0.328719,"Ames10277",250033095
"Ames 10287","ABPl 3","other","Ames10287:250032568",0.299359,"Ames10287",250032568
"Ames 12727","NC83","other","Ames12727:250035100",0.315256,"Ames12727",250035100
"Ames 12728","NC220","other","Ames12728:250032927",0.226429,"Ames12728",250032927
"Ames 12729","NC222","other","Ames12729:250033153",0.20786,"Ames12729",250033153
"Ames 12729","NC222","other","Ames12729:250033110",0.205982,"Ames12729",250033110
"Ames 12730","NC224","other","Ames12730:250033034",0.294813,"Ames12730",250033034
"Ames 12731","NC230","other","Ames12731:250032800",0.198831,"Ames12731",250032800
"Ames 12740","NC248","other","Ames12740:250033043",0.2231,"Ames12740",250033043
"Ames 12814","89S4083","other","Ames12814:250031891",0.232105,"Ames12814",250031891
"Ames 12815","89S4098","other","Ames12815:250031896",0.0563323,"Ames12815",250031896
"Ames 12816","89S4107","other","Ames12816:250041743",0.290741,"Ames12816",250041743
"Ames 12817","89S4110","other","Ames12817:250031903",0.244747,"Ames12817",250031903
"Ames 12817","89S4110","other","Ames12817:250041694",0.266763,"Ames12817",250041694
"Ames 12818","89S4117","other","Ames12818:250033615",0.0668013,"Ames12818",250033615
"Ames 12818","89S4117","other","Ames12818:250041678",0.0653375,"Ames12818",250041678
"Ames 12819","89S4125","other","Ames12819:250031873",0.240938,"Ames12819",250031873
"Ames 12820","89S4127","other","Ames12820:250033583",0.199565,"Ames12820",250033583
"Ames 12821","89S4145","other","Ames12821:250031934",0.294845,"Ames12821",250031934
"Ames 12822","89S4154","other","Ames12822:250033599",0.185134,"Ames12822",250033599
"Ames 12823","89S4157","other","Ames12823:250033553",0.202201,"Ames12823",250033553
"Ames 12824","89S4190","other","Ames12824:250031960",0.0959219,"Ames12824",250031960
"Ames 14112","Va3A","other","Ames14112:250031426",0.261089,"Ames14112",250031426
"Ames 14113","Va12C","other","Ames14113:250032833",0.183398,"Ames14113",250032833
"Ames 14113","Va12C","other","Ames14113:250042374",0.184945,"Ames14113",250042374
"Ames 14114","Va14A","other","Ames14114:250032791",0.173179,"Ames14114",250032791
"Ames 14115","Va35C","other","Ames14115:250034754",0.136653,"Ames14115",250034754
"Ames 14116","Va36A","other","Ames14116:250033794",0.149207,"Ames14116",250033794
"Ames 14211","EAST 028 WHITE COB","other","Ames14211:250031517",0.226672,"Ames14211",250031517
"Ames 18999","Ab28A","other","Ames18999:250032813",0.228086,"Ames18999",250032813
"Ames 18999","Ab28A","other","Ames18999:250032902",0.230239,"Ames18999",250032902
"Ames 19000","VaW6","other","Ames19000:250031259",0.264866,"Ames19000",250031259
"Ames 19000","VaW6","other","Ames19000:250041598",0.286909,"Ames19000",250041598
"Ames 19000","VaW6","other","Ames19000:250031373",0.291955,"Ames19000",250031373
"Ames 19000","VaW6","other","Ames19000:250042561",0.280429,"Ames19000",250042561
"Ames 19001","Va16","other","Ames19001:250034888",0.183752,"Ames19001",250034888
"Ames 19002","Va17","other","Ames19002:250033017",0.1359,"Ames19002",250033017
"Ames 19002","Va17","other","Ames19002:250033342",0.136333,"Ames19002",250033342
"Ames 19003","Va18A","other","Ames19003:250033145",0.192006,"Ames19003",250033145
"Ames 19004","Va21A","other","Ames19004:250033179",0.41547,"Ames19004",250033179
"Ames 19006","Va22B","other","Ames19006:250031408",0.154733,"Ames19006",250031408
"Ames 19007","Va23","other","Ames19007:250031290",0.157434,"Ames19007",250031290
"Ames 19008","Va24","other","Ames19008:250031330",0.154495,"Ames19008",250031330
"Ames 19008","Va24","other","Ames19008:250041562",0.149542,"Ames19008",250041562
"Ames 19009","Va30","other","Ames19009:250033582",0.131086,"Ames19009",250033582
"Ames 19010","Va37","other","Ames19010:250034541",0.22921,"Ames19010",250034541
"Ames 19011","Va38","other","Ames19011:250031433",0.237305,"Ames19011",250031433
"Ames 19012","Va39","other","Ames19012:250033821",0.152335,"Ames19012",250033821
"Ames 19013","Va46","other","Ames19013:250033793",0.160902,"Ames19013",250033793
"Ames 19014","Va52","other","Ames19014:250033702",0.116789,"Ames19014",250033702
"Ames 19016","Va59","other","Ames19016:250031305",0.1537,"Ames19016",250031305
"Ames 19016","Va59","other","Ames19016:250041550",0.152433,"Ames19016",250041550
"Ames 19016","Va59","other","Ames19016:250031379",0.154132,"Ames19016",250031379
"Ames 19017","Va60","other","Ames19017:250033742",0.209362,"Ames19017",250033742
"Ames 19019","Va91","other","Ames19019:250033836",0.148041,"Ames19019",250033836
"Ames 19283","B37 TRf","other","Ames19283:250031118",0.0907409,"Ames19283",250031118
"Ames 19284","C103","other","Ames19284:250032795",0.111128,"Ames19284",250032795
"Ames 19284","C103","other","Ames19284:250032965",0.152034,"Ames19284",250032965
"Ames 19287","Mo17TRf","other","Ames19287:250031541",0.103028,"Ames19287",250031541
"Ames 19288","Oh43","other","Ames19288:250041695",0.092599,"Ames19288",250041695
"Ames 19288","Oh43","other","Ames19288:250041724",0.0913981,"Ames19288",250041724
"Ames 19288","Oh43","other","Ames19288:250032389",0.0921432,"Ames19288",250032389
"Ames 19293","Wf9","other","Ames19293:250031532",0.099956,"Ames19293",250031532
"Ames 19308","A634","other","Ames19308:250033343",0.110923,"Ames19308",250033343
"Ames 19309","A635","other","Ames19309:250031394",0.0875262,"Ames19309",250031394
"Ames 19309","A635","other","Ames19309:250031417",0.0886444,"Ames19309",250031417
"Ames 19311","A641","other","Ames19311:250040840",0.135304,"Ames19311",250040840
