"ID","Pedigree","Comments","INDV","F_MISS","acc_v2.7","id_v2.7"
"Ames 10256","GE129","other","Ames10256:250042417",0.452997,"Ames10256",250042417
"Ames 10256","GE129","other","Ames10256:250033096",0.286512,"Ames10256",250033096
"Ames 10274","SC144","other","Ames10274:250042502",0.436845,"Ames10274",250042502
"Ames 10274","SC144","other","Ames10274:250033192",0.394383,"Ames10274",250033192
"Ames 12729","NC222","other","Ames12729:250033153",0.20786,"Ames12729",250033153
"Ames 12729","NC222","other","Ames12729:250033110",0.205982,"Ames12729",250033110
"Ames 12817","89S4110","other","Ames12817:250031903",0.244747,"Ames12817",250031903
"Ames 12817","89S4110","other","Ames12817:250041694",0.266763,"Ames12817",250041694
"Ames 12818","89S4117","other","Ames12818:250033615",0.0668013,"Ames12818",250033615
"Ames 12818","89S4117","other","Ames12818:250041678",0.0653375,"Ames12818",250041678
"Ames 14113","Va12C","other","Ames14113:250032833",0.183398,"Ames14113",250032833
"Ames 14113","Va12C","other","Ames14113:250042374",0.184945,"Ames14113",250042374
"Ames 18999","Ab28A","other","Ames18999:250032813",0.228086,"Ames18999",250032813
"Ames 18999","Ab28A","other","Ames18999:250032902",0.230239,"Ames18999",250032902
"Ames 19000","VaW6","other","Ames19000:250031259",0.264866,"Ames19000",250031259
"Ames 19000","VaW6","other","Ames19000:250041598",0.286909,"Ames19000",250041598
"Ames 19000","VaW6","other","Ames19000:250031373",0.291955,"Ames19000",250031373
"Ames 19000","VaW6","other","Ames19000:250042561",0.280429,"Ames19000",250042561
"Ames 19002","Va17","other","Ames19002:250033017",0.1359,"Ames19002",250033017
"Ames 19002","Va17","other","Ames19002:250033342",0.136333,"Ames19002",250033342
"Ames 19008","Va24","other","Ames19008:250031330",0.154495,"Ames19008",250031330
"Ames 19008","Va24","other","Ames19008:250041562",0.149542,"Ames19008",250041562
"Ames 19016","Va59","other","Ames19016:250031305",0.1537,"Ames19016",250031305
"Ames 19016","Va59","other","Ames19016:250041550",0.152433,"Ames19016",250041550
"Ames 19016","Va59","other","Ames19016:250031379",0.154132,"Ames19016",250031379
"Ames 19284","C103","other","Ames19284:250032795",0.111128,"Ames19284",250032795
"Ames 19284","C103","other","Ames19284:250032965",0.152034,"Ames19284",250032965
"Ames 19288","Oh43","other","Ames19288:250041695",0.092599,"Ames19288",250041695
"Ames 19288","Oh43","other","Ames19288:250041724",0.0913981,"Ames19288",250041724
"Ames 19288","Oh43","other","Ames19288:250032389",0.0921432,"Ames19288",250032389
"Ames 19309","A635","other","Ames19309:250031394",0.0875262,"Ames19309",250031394
"Ames 19309","A635","other","Ames19309:250031417",0.0886444,"Ames19309",250031417
"Ames 19311","A641","other","Ames19311:250040840",0.135304,"Ames19311",250040840
"Ames 19311","A641","other","Ames19311:250032517",0.305075,"Ames19311",250032517
"Ames 19311","A641","other","Ames19311:250034824",0.208122,"Ames19311",250034824
"Ames 19313","C123","other","Ames19313:250033580",0.168293,"Ames19313",250033580
"Ames 19313","C123","other","Ames19313:250033682",0.16514,"Ames19313",250033682
"Ames 19319","H95","other","Ames19319:250031680",0.152696,"Ames19319",250031680
"Ames 19319","H95","other","Ames19319:250033727",0.152338,"Ames19319",250033727
"Ames 19326","R168","other","Ames19326:250033609",0.150286,"Ames19326",250033609
"Ames 19326","R168","other","Ames19326:250033412",0.14893,"Ames19326",250033412
"Ames 19327","Tx303","other","Ames19327:250041454",0.177008,"Ames19327",250041454
"Ames 19327","Tx303","other","Ames19327:250042351",0.125327,"Ames19327",250042351
"Ames 19327","Tx303","other","Ames19327:250033180",0.14112,"Ames19327",250033180
"Ames 19328","Va22","other","Ames19328:250031547",0.160626,"Ames19328",250031547
"Ames 19328","Va22","other","Ames19328:250033806",0.166921,"Ames19328",250033806
"Ames 20137","H25W","other","Ames20137:250041733",0.323681,"Ames20137",250041733
"Ames 20137","H25W","other","Ames20137:250030999",0.25017,"Ames20137",250030999
"Ames 20140","Mt42","other","Ames20140:250032343",0.288603,"Ames20140",250032343
"Ames 20140","Mt42","other","Ames20140:250041397",0.298144,"Ames20140",250041397
"Ames 20140","Mt42","other","Ames20140:250035233",0.311428,"Ames20140",250035233
"Ames 20190","CM37","other","Ames20190:250035252",0.237087,"Ames20190",250035252
"Ames 20190","CM37","other","Ames20190:250032163",0.243524,"Ames20190",250032163
"Ames 20190","CM37","other","Ames20190:250042558",0.238765,"Ames20190",250042558
"Ames 20190","CM37","other","Ames20190:250042557",0.243286,"Ames20190",250042557
"Ames 22015","C12-1","sweet corn","Ames22015:250031376",0.301742,"Ames22015",250031376
"Ames 22015","C12-1","sweet corn","Ames22015:250041457",0.330306,"Ames22015",250041457
"Ames 22058","W 5579","sweet corn","Ames22058:250041438",0.219182,"Ames22058",250041438
"Ames 22058","W 5579","sweet corn","Ames22058:250034805",0.218113,"Ames22058",250034805
"Ames 22059","W 6366","sweet corn","Ames22059:250032556",0.247018,"Ames22059",250032556
"Ames 22059","W 6366","sweet corn","Ames22059:250041487",0.298894,"Ames22059",250041487
"Ames 22060","W 6462","sweet corn","Ames22060:250041439",0.215296,"Ames22060",250041439
"Ames 22060","W 6462","sweet corn","Ames22060:250034542",0.21652,"Ames22060",250034542
"Ames 22062","W 6720-1","sweet corn","Ames22062:250041414",0.198861,"Ames22062",250041414
"Ames 22062","W 6720-1","sweet corn","Ames22062:250032543",0.182307,"Ames22062",250032543
"Ames 22063","W 6720-2","sweet corn","Ames22063:250033098",0.191722,"Ames22063",250033098
"Ames 22063","W 6720-2","sweet corn","Ames22063:250041475",0.226847,"Ames22063",250041475
"Ames 22064","W 6728","sweet corn","Ames22064:250032461",0.189619,"Ames22064",250032461
"Ames 22064","W 6728","sweet corn","Ames22064:250041412",0.193406,"Ames22064",250041412
"Ames 22065","W 6757","sweet corn","Ames22065:250041486",0.182947,"Ames22065",250041486
"Ames 22065","W 6757","sweet corn","Ames22065:250032411",0.180649,"Ames22065",250032411
"Ames 22067","W 7151","sweet corn","Ames22067:250041447",0.339833,"Ames22067",250041447
"Ames 22067","W 7151","sweet corn","Ames22067:250032415",0.302448,"Ames22067",250032415
"Ames 22439","A73","other","Ames22439:250031884",0.178302,"Ames22439",250031884
"Ames 22439","A73","other","Ames22439:250041484",0.555043,"Ames22439",250041484
"Ames 22440","CI90C","other","Ames22440:250042577",0.230385,"Ames22440",250042577
"Ames 22440","CI90C","other","Ames22440:250031168",0.140666,"Ames22440",250031168
"Ames 22440","CI90C","other","Ames22440:250034959",0.231492,"Ames22440",250034959
"Ames 22440","CI90C","other","Ames22440:250042575",0.142724,"Ames22440",250042575
"Ames 22440","CI90C","other","Ames22440:250030998",0.143257,"Ames22440",250030998
"Ames 22440","CI90C","other","Ames22440:250042578",0.142491,"Ames22440",250042578
"Ames 22748","H100","other","Ames22748:250031306",0.139592,"Ames22748",250031306
"Ames 22748","H100","other","Ames22748:250031667",0.144312,"Ames22748",250031667
"Ames 22748","H100","other","Ames22748:250033694",0.143464,"Ames22748",250033694
"Ames 22750","H112","other","Ames22750:250040788",0.121565,"Ames22750",250040788
"Ames 22750","H112","other","Ames22750:250033560",0.427737,"Ames22750",250033560
"Ames 23426","A357","other","Ames23426:250041403",0.320765,"Ames23426",250041403
"Ames 23426","A357","other","Ames23426:250032399",0.267206,"Ames23426",250032399
"Ames 23428","A375","other","Ames23428:250041451",0.1615,"Ames23428",250041451
"Ames 23428","A375","other","Ames23428:250034823",0.165423,"Ames23428",250034823
"Ames 23450","A556","other","Ames23450:250033472",0.235329,"Ames23450",250033472
"Ames 23450","A556","other","Ames23450:250032521",0.236312,"Ames23450",250032521
"Ames 23482","A649","other","Ames23482:250041448",0.183914,"Ames23482",250041448
"Ames 23482","A649","other","Ames23482:250032523",0.964136,"Ames23482",250032523
"Ames 23482","A649","other","Ames23482:250034623",0.168943,"Ames23482",250034623
"Ames 23496","A672","other","Ames23496:250034604",0.156234,"Ames23496",250034604
"Ames 23496","A672","other","Ames23496:250041437",0.155646,"Ames23496",250041437
"Ames 23503","A680","other","Ames23503:250033830",0.051835,"Ames23503",250033830
"Ames 23503","A680","other","Ames23503:250031669",0.0453228,"Ames23503",250031669
"Ames 24712","MS71","other","Ames24712:250033531",0.121507,"Ames24712",250033531
"Ames 24712","MS71","other","Ames24712:250041424",0.113381,"Ames24712",250041424
"Ames 24720","MS80","other","Ames24720:250040775",0.140377,"Ames24720",250040775
"Ames 24720","MS80","other","Ames24720:250032290",0.194911,"Ames24720",250032290
"Ames 24750","MS225","other","Ames24750:250034796",0.249967,"Ames24750",250034796
