"ID","Pedigree","Comments_merged","Comments_isu_gb","Comments_note"
"Ames10249","GA212","other_unclassified","unclassified","ok"
"Ames10252","GA222","other_unclassified","unclassified","ok"
"Ames10254","GE54","other_unclassified","unclassified","ok"
"Ames10255","GE72","other_unclassified","unclassified","ok"
"Ames10256","GE129","other_unclassified","unclassified","ok"
"Ames10261","GE335","other_unclassified","unclassified","ok"
"Ames10265","L 678","other_unclassified","unclassified","ok"
"Ames10271","SC84E","other_unclassified","unclassified","ok"
"Ames10272","SC90","other_unclassified","unclassified","ok"
"Ames10273","SC102","other_unclassified","unclassified","ok"
"Ames10274","SC144","other_unclassified","unclassified","ok"
"Ames10277","SC235","other_unclassified","unclassified","ok"
"Ames10287","ABPl 3","other_unclassified","unclassified","ok"
"Ames12727","NC83","other_unclassified","unclassified","ok"
"Ames12728","NC220","other_unclassified","unclassified","ok"
"Ames12729","NC222","other_unclassified","unclassified","ok"
"Ames12730","NC224","other_unclassified","unclassified","ok"
"Ames12731","NC230","other_unclassified","unclassified","ok"
"Ames12740","NC248","other_unclassified","unclassified","ok"
"Ames12814","89S4083","other_unclassified","unclassified","ok"
"Ames12815","89S4098","other_unclassified","unclassified","ok"
"Ames12816","89S4107","other_unclassified","unclassified","ok"
"Ames12817","89S4110","other_unclassified","unclassified","ok"
"Ames12818","89S4117","other_unclassified","unclassified","ok"
"Ames12819","89S4125","other_unclassified","unclassified","ok"
"Ames12820","89S4127","other_unclassified","unclassified","ok"
"Ames12821","89S4145","other_unclassified","unclassified","ok"
"Ames12822","89S4154","other_unclassified","unclassified","ok"
"Ames12823","89S4157","other_unclassified","unclassified","ok"
"Ames12824","89S4190","other_unclassified","unclassified","ok"
"Ames14112","Va3A","other_unclassified","unclassified","ok"
"Ames14113","Va12C","other_unclassified","unclassified","ok"
"Ames14114","Va14A","other_unclassified","unclassified","ok"
"Ames14115","Va35C","other_non-stiff stalk","non-stiff stalk","ok"
"Ames14116","Va36A","other_non-stiff stalk","non-stiff stalk","ok"
"Ames14211","EAST 028 WHITE COB","other_unclassified","unclassified","ok"
"Ames18999","Ab28A","other_unclassified","unclassified","ok"
"Ames19000","VaW6","other_unclassified","unclassified","ok"
"Ames19001","Va16","other_unclassified","unclassified","ok"
