Accession,taxa,Pedigree_cleanformat,Comments_merged,Pop.structure,Visual Inspection,link,GRIN
PI596499,PI596499:250031409,OC12,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1067295,flint
PI596505,PI596505:250031375,OC18,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1084079,flint
PI587130,4722:250040158,4722,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1084091,popcorn
NSL22628,NSL22628:250032945,K47,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1088092,flint
NSL32720,NSL32720:250041433,ND33,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1103550,flint
NSL32723,NSL32723:250032220,ND1,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1103555,flint/dent
NSL81597,NSL81597:250032565,A648,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1118603,flint
PI236997,PI236997:250035256,Inbred6-907,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1186105,flint
PI257506,PI257506:250032281,F2,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1196837,flint
PI257508,PI257508:250032130,F10,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1196839,flint
PI267169,PI267169:250035255,T8302INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1201229,dent
PI303924,PI303924:250032405,NO.380,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1228198,flint
PI303938,PI303938:250034816,NO.1185INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1228212,flint
PI340817,PI340817:250032320,G3T5,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254122,flint
PI340818,PI340818:250032319,G3T5a,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254123,flint
PI340819,PI340819:250032218,T9,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254124,flint
PI340822,PI340822:250035265,G6T123,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254127,flint
PI340824,PI340824:250032286,G15T134,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254129,flint
PI340825,PI340825:250035260,G15T134a,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254130,flint
PI340843,PI340843:250034798,CA-15-2DENTSTERILE,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254148,popcorn
