"Year","Tier","Range","Pass","Gen","Pedigree","Source","id"
2015,2,37,24,519,"M6411","PI 506411","2015_37_24"
2015,2,36,6,472,"Il 101T","Ames 27119","2015_36_6"
2015,2,27,17,212,"C27","Ames 22019","2015_27_17"
2015,3,14,52,995,"STRAIN T20-2-68(B)","PI 358534","2015_14_52"
2015,2,28,16,242,"C22","Ames 22018","2015_28_16"
2015,2,22,8,54,"C30","Ames 26815","2015_22_8"
2015,2,27,5,201,"13B-587-68(A)","PI 358522","2015_27_5"
2015,2,23,8,83,"909","PI 233322","2015_23_8"
2015,3,12,48,932,"P39","PI 587133","2015_12_48"
2015,2,20,10,6,"CM37","Ames 20190","2015_20_10"
2015,2,33,1,377,"STRAIN 451B-4-68(B)","PI 358529","2015_33_1"
2015,2,22,21,67,"CM7","Ames 27070","2015_22_21"
2015,3,4,41,680,"STRAIN T35-388-68(A)","PI 358539","2015_4_41"
2015,2,26,31,195,"908","PI 233321","2015_26_31"
2015,3,5,40,711,"STRAIN T36(101T)-394-68","PI 358533","2015_5_40"
2015,2,31,29,343,"W 6714","Ames 22061","2015_31_29"
2015,2,26,14,179,"P39","NSL 8585","2015_26_14"
2015,2,36,19,485,"STRAIN T24-395-68(B)","PI 358536","2015_36_19"
2015,2,27,18,213,"C31","Ames 22020","2015_27_18"
2015,3,13,62,974,"Ia 5145","Ames 22031","2015_13_62"
2015,3,31,41,1501,"INBRED A-243-1","PI 186193","2015_31_41"
2015,3,37,52,1693,"829","PI 233319","2015_37_52"
2015,3,4,54,693,"R853","NSL 42808","2015_4_54"
2015,2,20,11,7,"C38","Ames 22021","2015_20_11"
2015,2,29,10,266,"442A-431-68(D)","PI 358528","2015_29_10"
2015,3,23,52,1269,"Il677a","Ames 27120","2015_23_52"
2015,2,40,11,596,"OC12","PI 596499","2015_40_11"
2015,2,28,15,241,"C12-1","Ames 22015","2015_28_15"
2015,2,28,30,254,"W 5552","Ames 22057","2015_28_30"
2015,2,33,32,406,"STRAIN 304A-408-68(B)","PI 358527","2015_33_32"
2015,2,21,13,28,"Ma32","Ames 22036","2015_21_13"
2015,2,30,27,311,"P51","Ames 22049","2015_30_27"
2015,2,21,27,42,"ND36","NSL 32721","2015_21_27"
2015,2,29,29,283,"MEF156-55-2","Ames 27135","2015_29_29"
2015,2,20,12,8,"M 23","Ames 22034","2015_20_12"
2015,3,29,43,1443,"OC15","PI 596502","2015_29_43"
2015,3,6,62,763,"C15","Ames 22016","2015_6_62"
2015,2,31,11,327,"A385","Ames 23429","2015_31_11"
2015,3,14,50,993,"AusTRCF 306350","NSL 438036","2015_14_50"
2015,2,28,22,246,"Ia 2076","Ames 22029","2015_28_22"
2015,2,24,30,134,"IP 39","Ames 22032","2015_24_30"
2015,2,27,6,202,"80-2","PI 369437","2015_27_6"
2015,2,22,12,58,"F10","PI 257508","2015_22_12"
2015,2,27,19,214,"Ia CG4189","Ames 22025","2015_27_19"
2015,2,21,26,41,"ND33","NSL 32720","2015_21_26"
2015,3,30,43,1473,"Il779a","Ames 27447","2015_30_43"
2015,2,22,14,60,"CM145","Ames 27032","2015_22_14"
2015,2,27,20,215,"Ia 2003","Ames 22028","2015_27_20"
2015,2,30,28,312,"W 3647","Ames 22053","2015_30_28"
2015,3,21,55,1210,"K41","NSL 22635","2015_21_55"
2015,2,36,4,470,"4F-300 AD 3","PI 198896","2015_36_4"
2015,2,20,20,12,"W 7151","Ames 22067","2015_20_20"
2015,2,26,22,187,"ND203","NSL 32732","2015_26_22"
2015,3,4,65,704,"89291","PI 550909","2015_4_65"
2015,3,32,63,1552,"H103","PI 550497","2015_32_63"
2015,2,20,19,11,"W 5543","Ames 22056","2015_20_19"
2015,3,7,55,785,"Oh43 (su)","Ames 26765","2015_7_55"
2015,2,40,6,591,"NY 3 (Neveh Yaar)","PI 200179","2015_40_6"
2015,3,5,42,713,"A619","PI 587139","2015_5_42"
2015,3,6,59,760,"Il731a","Ames 27444","2015_6_59"
2015,3,17,43,1079,"Mo307ae","NSL 67792","2015_17_43"
2015,2,26,29,193,"277","PI 233315","2015_26_29"
2015,3,23,49,1267,"CML 220","Ames 27087","2015_23_49"
2015,3,16,54,1059,"6M502","PI 601561","2015_16_54"
2015,2,29,30,284,"W703","NSL 30056","2015_29_30"
