Pedigree,Source,Gen,Comments
M6411,PI 506411,519,sweet corn
Il 101T,Ames 27119,472,sweet corn
C27,Ames 22019,212,sweet corn
STRAIN T20-2-68(B),PI 358534,995,sweet corn
C22,Ames 22018,242,sweet corn
C30,Ames 26815,54,sweet corn
13B-587-68(A),PI 358522,201,sweet corn
909,PI 233322,83,sweet corn
P39,PI 587133,932,sweet corn
P39,NSL 8585,179,sweet corn
STRAIN 451B-4-68(B),PI 358529,377,sweet corn
STRAIN T35-388-68(A),PI 358539,680,sweet corn
908,PI 233321,195,sweet corn
STRAIN T36(101T)-394-68,PI 358533,711,sweet corn
W 6714,Ames 22061,343,sweet corn
STRAIN T24-395-68(B),PI 358536,485,sweet corn
C31,Ames 22020,213,sweet corn
Ia 5145,Ames 22031,974,sweet corn
829,PI 233319,1693,sweet corn
R853,NSL 42808,693,sweet corn
C38,Ames 22021,7,sweet corn
C38,Ames 23506,17,sweet corn
442A-431-68(D),PI 358528,266,sweet corn
Il677a,Ames 27120,1269,sweet corn
C12-1,Ames 22015,241,sweet corn
W 5552,Ames 22057,254,sweet corn
STRAIN 304A-408-68(B),PI 358527,406,sweet corn
Ma32,Ames 22036,28,sweet corn
P51,Ames 22049,311,sweet corn
M 23,Ames 22034,8,sweet corn
C15,Ames 22016,763,sweet corn
Ia 2076,Ames 22029,246,sweet corn
IP 39,Ames 22032,134,sweet corn
Ia CG4189,Ames 22025,214,sweet corn
Il779a,Ames 27447,1473,sweet corn
Ia 2003,Ames 22028,215,sweet corn
W 3647,Ames 22053,312,sweet corn
W 7151,Ames 22067,12,sweet corn
W 5543,Ames 22056,11,sweet corn
Oh43 (su),Ames 26765,785,sweet corn
Il731a,Ames 27444,760,sweet corn
277,PI 233315,193,sweet corn
Il767b,Ames 27445,886,sweet corn
P51B,NSL 8582,355,sweet corn
P737M20,PI 644102,442,sweet corn
Me 244 Wb,Ames 22043,136,sweet corn
21-396-68(B),PI 358535,880,sweet corn
S8,Ames 23509,19,sweet corn
W 6757,Ames 22065,448,sweet corn
883,PI 233320,675,sweet corn
M6415,PI 506412,1426,sweet corn
R839,NSL 42806,802,sweet corn
P39A,NSL 8583,356,sweet corn
M 45,Ames 22035,135,sweet corn
W 5579,Ames 22058,255,sweet corn
C7e,Ames 22013,415,sweet corn
OC17,PI 596504,400,popcorn
Me 100,Ames 22038,247,sweet corn
C13,PI 587126,199,sweet corn
Me 123,Ames 22040,31,sweet corn
42,PI 233312,162,sweet corn
IA2132,PI 587134,121,sweet corn
C18,Ames 22017,133,sweet corn
C5,Ames 26813,139,sweet corn
NJ 159,Ames 22047,222,sweet corn
W 3722,Ames 22054,10,sweet corn
A684su,PI 567792,426,sweet corn
14H-588-68(B),PI 358523,598,sweet corn
Il14H,Ames 27118,3,sweet corn
27A-317-68(C),PI 358525,710,sweet corn
AD 175,Ames 28973,383,popcorn
W 6366,Ames 22059,736,sweet corn
226,PI 233314,50,sweet corn
IA2132 Goodman-Buckler,Ames 28364,382,sweet corn
P39M96,Ames 22048,310,sweet corn
Ill 101Q,Ames 22033,553,sweet corn
STRAIN T33-399-68(B),PI 358538,1027,sweet corn
AD SA15,Ames 29015,1478,popcorn
A686su,PI 567794,498,sweet corn
Me 121 Wa,Ames 22039,30,sweet corn
