"Plate.Number","Envelope","PedId","RecId","Source","Gen","Pedigree","ID","Year","Tier","Plot","Range","Pass","New_Block_Pass","New_Block_Range","Comments","Event.Name","Seed.Packaged.","Grind.Tube","Position.in.plate","HPLC.Datafile","d.Tocotrienol","g.Tocotrienol","a.Tocotrienol","d.Tocopherol","g.Tocopherol","a.Tocopherol","Total.Tocotrienols","Total.Tocopherols","Total.Tocochromanols"
"Ames17-Toc-07H","Ames17-EN-0801",3876500,3875315,"17SJMY:0801",430,"A451","Ames 23438",2017,2,801,10,1,1,3,"0","0","Yes","Ames17-GT-0897","E11","Ames17-CT-07H_Ames17-EN-0801_A451_74.lcd",3.731050371,25.26487733,10.22978856,0.263766029,14.0255755,2.035005499,39.22571626,16.32434703,55.5500633
"Ames17-Toc-17H","Ames17-EN-0880",3876577,3875392,"17SJMY:0880",392,"OC9","PI 553062",2017,2,880,11,1,1,4,"popcorn","0","Yes","Ames17-GT-0117","A03","Ames17-CT-17H_Ames17-EN-0880_OC9_12.lcd",3.517641825,32.35062787,7.515731415,5.572206107,44.95938079,1.257442765,43.38400111,51.78902967,95.17303078
"Ames17-Toc-16H","Ames17-EN-0881",3876578,3875393,"17SJMY:0881",471,"CH741-6","Ames 27020",2017,2,881,12,1,1,4,"0","0","Yes","Ames17-GT-0380","G05","Ames17-CT-16H_Ames17-EN-0881_CH741-6_95.lcd",0.220050607,6.646062792,10.3391042,0.664604708,45.22270161,12.04639366,17.2052176,57.93369998,75.13891758
"Ames17-Toc-14H","Ames17-EN-0960",3876655,3875470,"17SJMY:0960",902,"W117","PI 587153",2017,2,960,13,1,1,4,"0","0","Yes","Ames17-GT-0197","E08","Ames17-CT-14H_Ames17-EN-0960_W117_71.lcd",1.03890745,21.64531706,9.301329018,1.269156483,49.41725269,8.618658409,31.98555353,59.30506759,91.29062111
"Ames17-Toc-14H","Ames17-EN-0961",3876656,3875471,"17SJMY:0961",566,"B-22 INBR.FR.SUPERGOLD","PI 340857",2017,2,961,14,1,1,5,"popcorn","0","Yes","Ames17-GT-0481","B06","Ames17-CT-14H_Ames17-EN-0961_B-22 INBR.FR.SUPERGOLD_28.lcd",0.171811334,3.550456191,5.442292894,2.235487231,19.59289674,2.456113889,9.164560419,24.28449786,33.44905828
"Ames17-Toc-03H","Ames17-EN-1040",3876734,3875549,"17SJMY:1040",438,"MS199","Ames 24736",2017,2,1040,15,1,1,5,"0","0","Yes","Ames17-GT-1887","D10","Ames17-03H_Ames17-EN-1040_MS199_59.lcd",0.488468141,6.250060059,7.680713973,0.722238452,34.32161706,0.592321643,14.41924217,35.63617716,50.05541933
"Ames17-Toc-03H","Ames17-EN-1041",3876735,3875550,"17SJMY:1041",1724,"PHB47","PI 601009",2017,2,1041,16,1,1,5,"0","0","Yes","Ames17-GT-0924","D12","Ames17-03H_Ames17-EN-1041_PHB47_61.lcd",1.463880168,15.95450134,8.058372817,1.808866541,40.00667775,4.612593682,25.47675432,46.42813797,71.9048923
"Ames17-Toc-07H","Ames17-EN-1120",3876812,3875622,"17SJMY:1120",317,"ABPl 2","Ames 22792",2017,2,1120,17,1,1,6,"0","0","Yes","Ames17-GT-1591","E07","Ames17-CT-07H_Ames17-EN-1120_ABPl 2_70.lcd",0.590884339,10.66446093,14.42186593,0.032689634,4.614518784,1.524285586,25.6772112,6.171494003,31.8487052
"Ames17-Toc-07H","Ames17-EN-1121",3876813,3875623,"17SJMY:1121",709,"R-53-1 INBR.FR.YELPEARL","PI 340866",2017,2,1121,18,1,1,6,"popcorn","0","Yes","Ames17-GT-1124","F02","Ames17-CT-07H_Ames17-EN-1121_R-53-1 INBR.FR.YELPEARL_78.lcd",0.086110684,4.678897344,6.019620675,0.869942542,23.78661607,1.504281119,10.7846287,26.16083973,36.94546843
"Ames17-Toc-03H","Ames17-EN-1200",3876891,3876025,"17SJMY:1200",1,"B73","14SJMY:Breed:0001",2017,2,1200,19,1,1,6,"0","Check","Yes","Ames17-GT-1659","H12","Ames17-03H_Ames17-EN-1200_B73_115.lcd",1.072851912,30.7429663,12.42791435,2.996417295,38.26853522,7.175052327,44.24373256,48.44000484,92.6837374
