Year,Tier,Range,Pass,Gen,plate,Grp,Switch,New_Block_Pass,New_Block_Range,GRIN.pedigree,Source
2015,2,37,24,519,25,New_Lines,1,3,6,M6411,PI 506411
2015,2,36,6,472,25,New_Lines,1,1,6,Il 101T,Ames 27119
2015,2,27,17,212,3,New_Lines,1,3,3,C27,Ames 22019
2015,3,14,52,995,7,New_Lines,1,2,5,STRAIN T20-2-68(B),PI 358534
2015,2,28,16,242,16,New_Lines,1,2,3,C22,Ames 22018
2015,2,22,8,54,14,New_Lines,1,1,1,C30,Ames 26815
2015,2,27,5,201,15,New_Lines,1,1,3,13B-587-68(A),PI 358522
2015,2,23,8,83,3,New_Lines,1,1,2,909,PI 233322
2015,3,12,48,932,26,New_Lines,1,2,4,P39,PI 587133
2015,2,20,10,6,10,New_Lines,1,2,1,CM37,Ames 20190
2015,2,33,1,377,25,New_Lines,1,1,5,STRAIN 451B-4-68(B),PI 358529
2015,2,22,21,67,4,New_Lines,1,3,1,CM7,Ames 27070
2015,3,4,41,680,24,New_Lines,1,1,1,STRAIN T35-388-68(A),PI 358539
2015,2,26,31,195,4,New_Lines,1,4,3,908,PI 233321
2015,3,5,40,711,29,New_Lines,1,1,2,STRAIN T36(101T)-394-68,PI 358533
2015,2,31,29,343,13,New_Lines,1,4,4,W 6714,Ames 22061
2015,2,26,14,179,17,New_Lines,1,2,3,P39,NSL 8585
2015,2,36,19,485,13,New_Lines,1,3,6,STRAIN T24-395-68(B),PI 358536
2015,2,27,18,213,16,New_Lines,1,3,3,C31,Ames 22020
2015,3,13,62,974,7,New_Lines,1,4,4,Ia 5145,Ames 22031
2015,3,31,41,1501,5,New_Lines,1,1,10,INBRED A-243-1,PI 186193
2015,3,37,52,1693,16,New_Lines,1,2,12,829,PI 233319
2015,3,4,54,693,12,New_Lines,1,3,1,R853,NSL 42808
2015,2,20,11,7,4,New_Lines,1,2,1,C38,Ames 22021
2015,2,29,10,266,24,New_Lines,1,2,4,442A-431-68(D),PI 358528
2015,3,23,52,1269,16,New_Lines,1,2,8,Il677a,Ames 27120
2015,2,40,11,596,27,New_Lines,1,2,7,OC12,PI 596499
2015,2,28,15,241,18,New_Lines,1,2,3,C12-1,Ames 22015
2015,2,28,30,254,25,New_Lines,1,4,3,W 5552,Ames 22057
2015,2,33,32,406,15,New_Lines,1,4,5,STRAIN 304A-408-68(B),PI 358527
2015,2,21,13,28,4,New_Lines,1,2,1,Ma32,Ames 22036
2015,2,30,27,311,3,New_Lines,1,4,4,P51,Ames 22049
2015,2,21,27,42,3,New_Lines,1,4,1,ND36,NSL 32721
2015,2,29,29,283,14,New_Lines,1,4,4,MEF156-55-2,Ames 27135
2015,2,20,12,8,24,New_Lines,1,2,1,M 23,Ames 22034
2015,3,29,43,1443,27,New_Lines,1,1,10,OC15,PI 596502
2015,3,6,62,763,4,New_Lines,1,4,2,C15,Ames 22016
2015,2,31,11,327,3,New_Lines,1,2,4,A385,Ames 23429
2015,3,14,50,993,16,New_Lines,1,2,5,AusTRCF 306350,NSL 438036
2015,2,28,22,246,4,New_Lines,1,3,3,Ia 2076,Ames 22029
2015,2,24,30,134,27,New_Lines,1,4,2,IP 39,Ames 22032
