ID	Tier	Range	Pass	Year	check	is.experimental	plate	d.T3	g.T3	a.T3	d.T	g.T	a.T	Total.Tocotrienols	Total.Tocopherols	Total.Tocochromanols
Ames 23506	2	21	1	2015	99	1	1	0.904789712	29.56159959	1.887836474	5.415563554	71.72847597	4.504208337	32.35422578	81.64824786	115.2836947
PI 221736	2	22	1	2015	99	1	2	1.426484294	11.80121902	8.516406288	0.122311292	16.11565956	14.01891043	30.26051589	30.25688129	61.69127966
PI 535917	2	23	1	2015	99	1	5	1.086675779	7.301615117	5.81550664	0.636573385	39.83110245	10.1014071	14.20379754	50.56908293	65.71940305
Ames 22060	2	24	1	2015	99	1	1	0.871518733	56.97061736	10.84782633	3.247608954	71.87142288	11.53174098	68.68996242	86.65077281	156.0551787
PI 267169	2	26	1	2015	99	1	5	3.45248513	21.38362063	6.027058683	2.544696171	74.60677933	8.916782748	30.86316444	86.06825825	117.8317433
PI 559946	2	27	1	2015	99	1	5	1.344058706	9.40192422	5.561230783	1.998441482	79.56384309	1.54789378	16.30721371	83.11017836	100.29079
Ames 23393	2	28	1	2015	99	1	4	2.139694595	20.961279	5.390170434	8.835031534	135.8998436	4.890983321	28.49114403	149.6258585	178.9560195
NSL 30869	2	29	1	2015	99	1	21	2.060578382	34.56208803	5.184306054	4.568762161	112.8967525	5.667203217	41.80697247	123.1327179	165.9979237
PI 544065	2	30	1	2015	99	1	14	0.386990205	20.66855053	4.873906177	2.692993033	33.60531888	0.506640998	25.92944691	36.80495291	63.39010873
Ames 22792	2	31	1	2015	99	1	11	0.548849933	8.083362758	7.340358528	0.055636563	3.957008245	0.885885718	15.97257122	4.898530525	21.59541677
Ames 24739	2	32	1	2015	99	1	4	0.109461067	7.78657857	4.539202325	0.869999884	21.41570835	6.422846581	12.43524196	28.70855482	42.08408945
PI 358529	2	33	1	2015	99	1	12	1.771832028	31.23412468	2.536570302	1.061079026	27.62242853	0.604906947	35.54252701	29.2884145	65.65366696
PI 601495	2	34	1	2015	99	1	4	0.199674577	9.671868054	5.411238621	1.821443644	67.22760067	1.604822566	15.28278125	70.65386688	86.8124462
Ames 24726	2	35	1	2015	99	1	10	1.436864245	23.82430238	5.114969809	7.544808886	79.73510363	1.415025572	30.37613643	88.69493809	119.7532485
PI 198893	2	36	1	2015	99	1	16	0.234455793	13.10319888	5.165551307	2.012536661	64.65422228	11.11517651	18.50320598	77.78193545	97.11698114
PI 559952	2	37	1	2015	99	1	4	0.17291242	9.521622213	3.349050382	4.830286342	102.7186502	1.061200029	13.04358501	108.6101366	122.6212396
Ames 23463	2	38	1	2015	99	1	3	0.8491078	8.290407924	6.723032713	2.2424394	39.33056722	11.73667294	15.86254844	53.30967956	70.10616782
NSL 30065	2	39	1	2015	99	1	8	0.727384926	29.33770392	3.333930763	0.563419386	41.31501863	3.252866729	36.65967122	45.13130474	82.46807719
14SJMY:Breed:0001	2	40	1	2015	1	0	14	2.109504194	41.35268468	7.628346388	4.390538224	33.68392535	2.510054596	51.09053526	40.58451817	92.36695541
Ames 20190	2	20	10	2015	99	1	1	0.761661052	15.78755666	12.94917944	1.474408053	41.32471744	7.082744896	29.49839714	49.88187039	80.24079644
Ames 27024	2	21	10	2015	99	1	19	0.425404132	13.80110499	4.941726865	2.489255801	48.37975711	1.634568574	19.16823598	52.50358149	72.68029045
PI 257506	2	22	10	2015	99	1	1	0.476178684	18.30844675	3.524107441	7.140272884	52.0197836	4.696312195	22.30873287	63.85636868	86.94124733
PI 550532	2	23	10	2015	99	1	6	0.618436124	13.99982855	19.64484714	0.388923814	18.72649963	17.67358911	34.26311181	36.78901255	72.16818307
Ames 23406	2	24	10	2015	99	1	1	0.148623011	9.180486321	6.406457578	0.861469991	32.53965465	1.152944724	15.73556691	34.55406937	51.47070023
Ames 27052	2	25	10	2015	99	1	2	0.314386904	14.71486374	0.521114713	0.380486332	28.62958278	0.333723575	16.07148007	29.34379269	46.87279182
PI 415080	2	26	10	2015	99	1	1	4.56691803	34.82438247	12.53315605	0.465810215	10.16960265	7.620239994	51.92445655	18.25565286	71.48126186
PI 601808	2	27	10	2015	99	1	2	3.44168152	32.58252832	12.94662337	3.187032074	44.43544549	7.747156744	61.91745657	55.3696343	119.014858
Ames 23485	2	28	10	2015	99	1	17	0.402855926	8.465457768	8.480870059	1.77090247	47.77651152	1.295818015	17.34918375	50.843232	69.17469244
PI 358528	2	29	10	2015	99	1	5	1.814446343	36.74728706	6.815804851	1.286574872	42.47801366	3.450884695	45.37753825	47.21547322	93.57808996
PI 601300	2	30	10	2015	99	1	3	0.219796462	8.598833302	7.607445971	3.035454023	100.4088864	11.88398264	16.42607574	115.3283231	132.5892245
Ames 23428	2	31	10	2015	99	1	8	0.837545266	12.52874826	3.279156586	0.305984096	13.22611597	0.50654455	20.19917972	14.03864462	34.93275366
NSL 8583	2	32	10	2015	99	1	12	1.470298139	66.4379494	5.292328001	3.42515744	69.26899325	3.047296229	73.20057554	75.74144692	149.6804671
PI 550503	2	33	10	2015	99	1	18	0.843608949	5.828854139	8.440206486	0.109881838	21.36737342	18.33538882	8.437233535	39.81264408	49.35040985
14SJMY:Breed:0001	2	34	10	2015	1	0	10	2.035354177	41.01175569	8.435190065	3.81067083	33.92991255	2.69321158	51.48229993	40.43379496	92.67480533
Ames 28972	2	35	10	2015	99	1	3	0.522558465	1.928004944	2.20366557	2.023063234	38.1497803	1.754989634	4.654228979	41.92783316	47.52891534
PI 198906	2	36	10	2015	99	1	18	0.456699419	15.76458239	4.568140344	1.111485397	33.61782076	2.429555288	17.17643843	37.15886144	55.31118974
PI 594069	2	37	10	2015	99	1	6	0.998991243	12.74426009	10.2724178	1.329332187	27.69982945	7.623882093	24.01566914	36.65304373	61.6558653
Ames 26756	2	38	10	2015	99	1	18	0.178807639	4.941972369	5.7030993	1.722757458	96.05205584	8.555655333	6.313246226	106.3304686	113.5937115
PI 340827	2	39	10	2015	99	1	12	0.037218715	0.83651061	1.847488946	2.054777826	38.08645824	1.351062677	2.721218272	41.49229875	44.95070208
PI 594056	2	40	10	2015	99	1	3	1.67095579	31.32991599	2.619566659	1.149957534	35.91493747	1.008170465	35.62043844	38.07306547	74.60068876
Ames 22021	2	20	11	2015	99	1	1	0.66707519	27.89540758	4.909603363	2.323659067	58.03071095	10.59105883	33.47208614	70.94542885	105.0916924
Ames 27025	2	21	11	2015	99	1	5	1.049689108	7.743672478	4.301086427	2.91002254	52.23807979	2.596112717	13.09444801	57.74421505	71.83644743
PI 257507	2	22	11	2015	99	1	14	0.479042619	20.25245244	2.631212651	3.04909093	50.84995689	3.185887804	23.36270771	57.08493562	81.09601605
PI 550540	2	23	11	2015	99	1	3	3.566142038	27.1743935	5.839330642	1.123987049	71.25916305	2.491754256	36.57986618	74.87490435	112.3807191
Ames 23431	2	24	11	2015	99	1	10	0.160659576	12.2001318	6.312547451	0.359817795	15.55421352	3.065472349	18.67333883	18.97950367	38.42884879
Ames 27107	2	25	11	2015	99	1	9	0.915673775	14.62867719	2.019056209	2.28071809	24.96859216	1.497752317	17.56340717	28.74706257	47.01478477
14SJMY:Breed:0001	2	26	11	2015	1	0	4	1.925768078	51.87152362	11.22444453	5.895612256	61.38628283	7.394326058	65.02173623	74.67622114	140.6789506
Ames 2330	2	27	11	2015	99	1	5	3.031758073	22.5360296	2.362734011	2.681707419	49.56025549	0.716701815	27.93052168	52.95866472	81.84008332
Ames 23492	2	28	11	2015	99	1	1	1.207943217	6.852933862	4.831621252	1.818302746	33.78632493	6.299966139	12.89249833	41.90459381	56.13766252
PI 601416	2	30	11	2015	99	1	13	0.354384261	11.56302391	4.611859715	1.963415552	55.28963267	5.117977389	16.52926789	62.37102561	79.50797864
Ames 23429	2	31	11	2015	99	1	4	0.061746549	1.350028286	5.297456795	2.207268532	59.72140411	4.451786074	6.70923163	66.38045871	74.26224
NSL 30835	2	32	11	2015	99	1	12	0.245382557	14.14192951	4.53147079	2.897073939	75.43258275	0.883226753	18.91878286	79.21288345	98.92716921
PI 550531	2	33	11	2015	99	1	13	1.654454071	24.85624408	3.675337985	2.482400178	45.89344847	1.205389524	30.18603613	49.58123817	80.37217674
Ames 22024	2	34	11	2015	99	1	17	0.383984459	17.32019405	13.32892726	1.81774057	93.58034335	14.99337293	31.03310576	110.3914569	142.2613328
Ames 28974	2	35	11	2015	99	1	8	0.571187613	5.482528736	1.831202905	1.314435963	25.5339086	1.559531588	10.91720819	28.40787615	40.08383542
PI 200188	2	36	11	2015	99	1	11	0.968307652	6.839814114	5.751374448	1.507276753	36.59125468	1.395321014	13.55949621	39.49385244	53.92714283
PI 595616	2	37	11	2015	99	1	10	0.542895964	9.116697009	5.120924242	0.459675382	29.03836205	3.798055849	14.78051722	33.29609328	48.71917716
Ames 26760	2	38	11	2015	99	1	15	0.213214412	6.345458119	11.15844759	0.152421053	12.66099197	11.11872883	17.71712012	23.93214185	43.27802327
