GENOTYPE,d.T3.x,g.T3.x,a.T3.x,d.T.x,g.T.x,a.T.x,Total.Tocotrienols.x,Total.Tocopherols.x,Total.Tocochromanols.x,d.T3.y,g.T3.y,a.T3.y,d.T.y,g.T.y,a.T.y,Total.Tocotrienols.y,Total.Tocopherols.y,Total.Tocochromanols.y
Ames10249,0.331144551,5.481638941,6.581570512,0.980978539,27.23420976,3.081427123,12.35488903,31.17016625,44.79277699,0.331144551,7.273673668,6.581570512,1.310877566,28.553376814,4.868389078,12.35488903,31.17016625,44.79277699
Ames10252,0.546011682,10.62631152,12.72675563,1.0786532,33.68847141,4.804920733,24.08937746,39.81922193,63.64539069,0.546011682,12.418346247,12.72675563,1.408552227,35.007638464,6.591882688,24.08937746,39.81922193,63.64539069
Ames10254,0.763619508,15.71820891,15.44017301,0.511847734,6.942956561,6.768497572,31.9553,13.96122275,46.20744311,0.763619508,17.510243637,15.44017301,0.841746761,8.262123615,8.555459527,31.9553,13.96122275,46.20744311
Ames10255,0.354175972,6.954777714,9.616035733,0.384933777,7.303468679,3.357189469,16.76788695,10.50194473,27.82154702,0.354175972,8.746812441,9.616035733,0.714832804,8.622635733,5.144151424,16.76788695,10.50194473,27.82154702
Ames10256,0.34996578,22.74669497,7.595198763,1.33313385,42.02354718,-0.115921535,30.73341483,42.95229218,73.89424017,0.34996578,24.538729697,7.595198763,1.663032877,43.342714234,1.67104042,30.73341483,42.95229218,73.89424017
Ames10261,0.736364581,18.73774258,13.3134586,0.28889448,18.72504337,13.60435496,32.70952723,32.66262789,65.32829538,0.736364581,20.529777307,13.3134586,0.618793507,20.044210424,15.391316915,32.70952723,32.66262789,65.32829538
Ames10265,0.057473306,5.750037442,7.461235432,1.289039349,46.80392428,2.380910931,13.45904482,50.72105114,63.91688726,0.057473306,7.542072169,7.461235432,1.618938376,48.123091334,4.167872886,13.45904482,50.72105114,63.91688726
Ames10271,0.882928277,13.26661936,8.376975011,0.427665528,25.99977848,0.876537279,22.6341274,27.97491128,51.04427783,0.882928277,15.058654087,8.376975011,0.757564555,27.318945534,2.663499234,22.6341274,27.97491128,51.04427783
Ames10272,3.011995089,37.27337865,9.035982557,2.042540743,47.644893,5.990117386,50.30589231,55.76080303,105.8937109,3.011995089,39.065413377,9.035982557,2.37243977,48.964060054,7.777079341,50.30589231,55.76080303,105.8937109
Ames10273,0.425575776,5.444320959,16.19437403,1.085146948,26.51543747,9.992862561,22.56312466,37.6788307,59.98718918,0.425575776,7.236355686,16.19437403,1.415045975,27.834604524,11.779824516,22.56312466,37.6788307,59.98718918
Ames10274,2.847906736,18.29180616,12.53233677,3.770355511,59.27000482,16.14010291,33.82829375,79.3881616,113.1286349,2.847906736,20.083840887,12.53233677,4.100254538,60.589171874,17.927064865,33.82829375,79.3881616,113.1286349
Ames10277,0.737773835,12.7734105,7.788422227,0.698576796,17.25340998,5.688619241,21.51102995,23.7342621,45.03720003,0.737773835,14.565445227,7.788422227,1.028475823,18.572577034,7.475581196,21.51102995,23.7342621,45.03720003
Ames10287,0.617988323,15.1241918,6.038263074,-0.055879631,8.199811608,1.159862167,21.81398267,9.409374548,31.48683925,0.617988323,16.916226527,6.038263074,0.274019396,9.518978662,2.946824122,21.81398267,9.409374548,31.48683925
Ames12727,0.774645429,11.19435103,7.242657605,0.252391394,8.523150593,4.680914183,19.20847452,13.51651837,32.88734546,0.774645429,12.986385757,7.242657605,0.582290421,9.842317647,6.467876138,19.20847452,13.51651837,32.88734546
Ames12728,0.307355825,8.507911507,15.35524985,3.772098555,60.8486378,7.822602489,23.98580151,72.37041002,96.44559661,0.307355825,10.299946234,15.35524985,4.101997582,62.167804854,9.609564444,23.98580151,72.37041002,96.44559661
